Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Linkedin,Unique Segmento,Contagem de Segmento,Top Segmentos,
Ecomunica | Certified B Corp,HSYSTEM TECNOLOGIA LTDA,16.991.645/0001-73,"60,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador não-customizáveis,38.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Marketing Services'}}],['Human Resources'],https://www.linkedin.com/company/ecomunica,,,,
HSystem,ASSOCIACAO CULTURAL DE RENOVACAO TECNOLOGICA SOROCABANA,45.718.988/0001-67,0.00,Até 100 mil,Educação superior - graduação e pós-graduação,109.00,,"Florianópolis, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Information Technology'],https://www.linkedin.com/company/hsystem,,,,
Facens,GETNINJAS LTDA,55.744.877/0001-89,"6,611,792.00",1 – 10 milhões,"Portais, provedores de conteúdo e outros serviços de informação na internet",142.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Higher Education'}}],"['Design, Art/Creative, and Information Technology']",https://www.linkedin.com/company/facens,,,,
GetNinjas,TERRAMAGNA TRATAMENTO DE DADOS LTDA,26.154.713/0001-01,"58,000,000.00",10 – 100 milhões,Atividades de consultoria em gestão empresarial,403.00,,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Information Technology'],https://www.linkedin.com/company/getninjas,,,,
TerraMagna,SHOTGUN BRAZIL LTDA,40.183.218/0001-43,"785,957.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador customizáveis,84.00,,Brazil,[{'job_industry_list': {'industry': 'Financial Services'}}],['Engineering'],https://www.linkedin.com/company/terramagna,,,,
Shotgun,FACE DOCTOR SERVICOS DE FRANCHISING LTDA,36.044.695/0001-50,"100,000.00",Até 100 mil,Gestão de ativos intangíveis não-financeiros,115.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Entertainment Providers'}}],['Finance and Sales'],https://www.linkedin.com/company/shotgun-,,,,
Face Doctor Franchising - Oficial,AGAPE ASSESSORIA E CONSULTORIA LTDA,02.548.735/0001-80,"200,000.00",100 mil – 1 milhão,Consultoria em tecnologia da informação,163.00,,"Porto Alegre, Rio Grande do Sul, Brazil",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],"['Design, Art/Creative, and Information Technology']",https://www.linkedin.com/company/facedoctor-franchising,,,,
,MBLABS SERVICOS DE TECNOLOGIA LTDA,18.870.181/0001-72,"1,010,000.00",1 – 10 milhões,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",,,"Sorocaba, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Advertising Services'}}],['Other'],,,,,
MB Labs,AFIANCI ASSESSORIA INTERNACIONAL LTDA.,28.634.189/0001-93,"99,800.00",Até 100 mil,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",289.00,,Brazil,"[{'job_industry_list': {'industry': 'IT Services and IT Consulting, Financial Services, and Technology, Information and Media'}}]",['Engineering and Information Technology'],https://www.linkedin.com/company/mblabs,,,,
Afianci Global Networking,GSS - GESTAO SERVICOS A SAUDE LTDA,18.670.594/0001-03,"900,000.00",100 mil – 1 milhão,Atividades de atenção ambulatorial não especificadas anteriormente,28.00,,"Caxias do Sul, Rio Grande do Sul, Brazil",[{'job_industry_list': {'industry': 'International Trade and Development'}}],['Sales and Business Development'],https://www.linkedin.com/company/afianci-global-networking,,,,
GSS Gestão Serviços Saúde,VIPTRIP TURISMO LTDA,04.023.005/0001-90,"558,000.00",100 mil – 1 milhão,Agências de viagens,14.00,,"Itajaí, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Public Health'}}],['Sales and Business Development'],https://www.linkedin.com/company/gss-gest%c3%a3oservi%c3%a7ossa%c3%bade,,,,
VIPTRIP,FAST2 MINE TECNOLOGIA E DESENVOLVIMENTO DE SISTEMAS LTDA,23.776.343/0001-48,"70,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador não-customizáveis,15.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],"['Consulting, Information Technology, and Sales']",https://www.linkedin.com/company/vip-trip-turismo,,,,
Fast2Mine,HYTORC RIO IMPORTACAO E EXPORTACAO E REPRESENTACAO COMERCIAL LTDA,15.364.356/0001-81,"500,000.00",100 mil – 1 milhão,Comércio atacadista de ferragens e ferramentas,100.00,,"Porto Alegre, Rio Grande do Sul, Brazil",[{'job_industry_list': {'industry': 'Mining'}}],['Quality Assurance'],https://www.linkedin.com/company/fast2-mine,,,,
HYTORC RIO,C.M SISTEMA DE GESTAO LTDA,24.897.729/0001-70,"12,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador não-customizáveis,15.00,,"Niterói, Rio de Janeiro, Brazil",[{'job_industry_list': {'industry': 'Wholesale Import and Export'}}],['Sales and Business Development'],https://www.linkedin.com/company/hytorc-rio,,,,
Coleção.Moda,C.M SISTEMA DE GESTAO LTDA,24.897.729/0001-70,"12,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador não-customizáveis,13.00,,"Florianópolis, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Information Technology'],https://www.linkedin.com/company/cole%c3%a7%c3%a3o.moda,,,,
Mereo.,MEREO TECH S.A.,15.648.098/0001-65,"8,125,926.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,93.00,,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Sales and Business Development'],https://www.linkedin.com/company/mereobrasil,,,,
Carbon Free Brazil,CARBON FREE BRASIL LTDA,35.305.155/0001-10,"68,350.00",Até 100 mil,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",18.00,,"Florianópolis, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Environmental Services'}}],['Sales and Business Development'],https://www.linkedin.com/company/carbon-free-brasil,,,,
Elemidia,ELEMIDIA CONSULTORIA E SERVICOS DE MARKETING S.A.,05.881.258/0001-68,"30,293,290.00",10 – 100 milhões,********,156.00,,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'Advertising Services'}}],['Other and Information Technology'],https://www.linkedin.com/company/elemidia,,,,
360º Visualização da Arquitetura,ABEIJON & SILVA LTDA,14.072.189/0001-32,"10,000.00",Até 100 mil,Comércio varejista de outros produtos não especificados anteriormente,14.00,,"Porto Alegre, Rio Grande do Sul, Brazil",[{'job_industry_list': {'industry': 'Architecture and Planning'}}],[],https://www.linkedin.com/company/360-visualiza%c3%a7%c3%a3o-da-arquitetura,,,,
3r ribersolo,3RLAB RIBERSOLO LABORATORIO DE ANALISES AGROPECUARIAS S.A.,19.440.696/0001-03,"3,411,477.00",1 – 10 milhões,Testes e análises técnicas,55.00,,"Chapecó, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Farming'}}],"['Research, Analyst, and Information Technology']",https://www.linkedin.com/company/3rribersolo,,,,
,AVOCATI RECUPERACAO DE ATIVOS LTDA,16.433.417/0001-88,"12,000.00",Até 100 mil,********,,,"Agudos, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Administrative and Support Services'}}],['Project Management and Information Technology'],,,,,
,GLASSES SANTANA COSTA,07.188.471/0001-14,"10,000.00",Até 100 mil,Seleção e agenciamento de mão-de-obra,,,"Curitiba, Paraná, Brazil",[{'job_industry_list': {'industry': 'Advertising Services'}}],['Accounting/Auditing and Finance'],,,,,
Aliant,ICTS H3 PARTICIPACOES LTDA,38.346.606/0001-56,"85,561.00",Até 100 mil,Holdings de instituições não-financeiras,158.00,,"Barueri, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Other'],https://www.linkedin.com/company/somosaliant,,,,
Orthopride,CLINICA ODONTOLOGICA DE IPATINGA LTDA,33.514.806/0001-57,"80,000.00",Até 100 mil,Atividade odontológica,"2,650.00",,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Other'],https://www.linkedin.com/company/grupoorthopride,,,,
INTERA | Talent Hacking,INTERA TALENT HACKING RECRUTAMENTO LTDA,33.434.173/0001-77,"10,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,140.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Information Technology'],https://www.linkedin.com/company/byintera,,,,
Psicobreve- Psicoterapias,PSICOBREVE - CLINICA DE PSIQUIATRIA E PSICOLOGIA LTDA,45.132.557/0001-14,"10,000.00",Até 100 mil,Atividades de psicologia e psicanálise,9.00,,"Porto Alegre, Rio Grande do Sul, Brazil",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Administrative'],https://www.linkedin.com/company/psicobrevepsicoterapias,,,,
Falconi,FALCONI CONSULTORES S.A.,05.485.279/0001-64,"81,134,175.70",10 – 100 milhões,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","1,346.00",,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Business Development'],https://www.linkedin.com/company/falconi-oficial,,,,
Vixtra,VIXTRA TECNOLOGIA E SERVICOS FINANCEIROS LTDA,43.443.444/0001-04,"50,587,396.00",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,75.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Product Management and Marketing'],https://www.linkedin.com/company/vixtra,,,,
,AGROPECUARIA PARECIS LTDA,15.911.506/0001-20,"94,000.00",Até 100 mil,Cultivo de soja,,,"Arenápolis, Mato Grosso, Brazil",[{'job_industry_list': {'industry': 'Motor Vehicle Manufacturing'}}],['Management and Manufacturing'],,,,,
Trinus Co,TRINUS CO. PARTICIPACOES S.A.,21.009.700/0001-17,"128,920,533.00",100 milhões – 1 bilhão,Holdings de instituições não-financeiras,564.00,,"Goiânia, Goiás, Brazil",[{'job_industry_list': {'industry': 'Banking'}}],"['Other', 'Engineering and Information Technology']",https://www.linkedin.com/company/trinus-co,,,,
Cadeflex - Mobiliário Corporativo,CADEFLEX MOVEIS COORPORATIVOS E ASSISTENCIA TECNICA LTDA,23.258.614/0001-73,"120,000.00",100 mil – 1 milhão,Comércio varejista de móveis,9.00,,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Office Furniture and Fixtures Manufacturing'}}],['Production'],https://www.linkedin.com/company/cadeflexmobiliariocorporativo,,,,
Munai,MUNAI DESENVOLVIMENTO E SERVICOS DE INTELIGENCIA ARTIFICIAL SA,35.576.132/0001-40,"30,000.00",Até 100 mil,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",69.00,,"Curitiba, Paraná, Brazil",[{'job_industry_list': {'industry': 'Information Services'}}],['Business Development and Sales'],https://www.linkedin.com/company/munai-health,,,,
Huna,HUNA CC MARCENARIA LTDA,23.377.903/0001-91,"95,400.00",Até 100 mil,Fabricação de móveis com predominância de madeira,35.00,,Brazil,[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/huna-ai,,,,
299 IMPORTS,MMATOS COMERCIO DE VEICULOS E PECAS LTDA,21.194.795/0001-96,"80,000.00",Até 100 mil,Comércio a varejo de motocicletas e motonetas novas,33.00,,"Brasília, Federal District, Brazil",[{'job_industry_list': {'industry': 'Retail'}}],['Human Resources'],https://www.linkedin.com/company/299-imports,,,,
,CORIS BRASIL TURISMO VIAGENS E ASSISTENCIA INTERNACIONAL LTDA,04.789.159/0001-98,"300,000.00",100 mil – 1 milhão,Agências de viagens,,,Brazil,[{'job_industry_list': {'industry': 'Accounting'}}],['Finance and Sales'],,,,,
Andora Construções,ANDORA CONSTRUCOES LTDA,00.154.198/0001-68,"1,600,000.00",1 – 10 milhões,Construção de edifícios,87.00,,"Montenegro, Rio Grande do Sul, Brazil",[{'job_industry_list': {'industry': 'Construction'}}],['Administrative'],https://www.linkedin.com/company/andoraconstrucoes,,,,
OtorrinoDF,CLINICA MEDICA DE OTORRINOLARINGOLOGIA CIRURGIA CERVICO-FACIAL OTORRINODF LTDA,15.613.440/0001-91,"2,500,000.00",1 – 10 milhões,Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências,90.00,,"Brasília, Federal District, Brazil","[{'job_industry_list': {'industry': 'Health, Wellness & Fitness'}}]",['Customer Service'],https://www.linkedin.com/company/otorrino-df,,,,
Braile Biomédica,BRAILE BIOMEDICA INDUSTRIA COMERCIO E REPRESENTACOES LTDA,52.828.936/0001-09,"20,010,000.00",10 – 100 milhões,"Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório",358.00,,"São José do Rio Preto, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/brailebiomedica,,,,
Market Makers,MARKET MAKERS LTDA,49.440.346/0001-08,"1,000.00",Até 100 mil,Holdings de instituições não-financeiras,15.00,,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],"['Writing/Editing, Design, and Finance']",https://www.linkedin.com/company/mmakersoficial,,,,
Merki Digitador,MERKI COMERCIO E INDUSTRIA LTDA,42.520.117/0001-46,"30,000.00",Até 100 mil,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",25.00,,"Araras, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Sales and Business Development'],https://www.linkedin.com/company/merki-digitador,,,,
IN10,DGI IMPORTACAO E EXPORTACAO LTDA.,57.460.644/0001-80,"635,000.00",100 mil – 1 milhão,Comércio a varejo de pneumáticos e câmaras-de-ar,17.00,,"Campina Grande do Sul, Paraná, Brazil","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",['Education and Training'],,,,,
,IN10 - INOVACAO E INTELIGENCIA EM ANALISE DE DADOS LTDA.,13.579.055/0001-40,"337,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,,,Brazil,"[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Information Technology'],https://www.linkedin.com/company/in10brasil,,,,
,AUTRON AUTOMACAO INDUSTRIA E COMERCIO LTDA,72.932.718/0001-27,"550,000.00",100 mil – 1 milhão,Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças,,,"Perdizes, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Human Resources'],,,,,
,AQUELE BAR LTDA,49.958.491/0001-77,"10,000.00",Até 100 mil,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",,,"Curitiba, Paraná, Brazil",[],['Management and Manufacturing'],,,,,
,FORTES TECNOLOGIA EM SISTEMAS LTDA,63.542.443/0001-24,"7,704,198.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,,,"Agudos, São Paulo, Brazil","[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Engineering and Information Technology'],,,,,
Tecer,TECER - TERMINAIS PORTUARIOS CEARA LTDA,08.247.312/0001-06,"1,300,000.00",1 – 10 milhões,Atividades do Operador Portuário,80.00,,Brazil,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Information Technology'],https://www.linkedin.com/company/tecer-recursosmaishumanos,,,,
dataRain Consulting,DATARAIN CONSULTING E SERVICOS DE TECNOLOGIA SA,32.574.606/0001-27,"10,000,000.00",1 – 10 milhões,Consultoria em tecnologia da informação,55.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/datarainconsulting,,,,
TODOS Empreendimentos,TODOS EMPRENDIMENTOS LTDA,04.644.515/0001-85,"5,158,000.00",1 – 10 milhões,Gestão de ativos intangíveis não-financeiros,393.00,,"Ipatinga, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Individual and Family Services'}}],['Other'],https://www.linkedin.com/company/todosempreendimentos,,,,
لم يتم العثور على الصفحة,AHGORA INTEGRACAO DE SISTEMAS E AUTOMACAO LTDA,58.384.751/0001-39,0.00,Até 100 mil,********,Não encontrado,,"Florianópolis, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],https://www.linkedin.com/company/ahgora,,,,
FIEMG Lab,FEDERACAO DAS INDUSTRIAS DO ESTADO DE MINAS GERAIS - FIEMG,17.212.069/0001-81,0.00,Até 100 mil,Atividades de organizações associativas patronais e empresariais,21.00,,"Nova Lima, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Administrative'],https://www.linkedin.com/company/fiemglab,,,,
Benova®,BENOVA SOLUCOES EM E-COMMERCE LTDA,23.943.826/0001-90,"10,000.00",Até 100 mil,Web desing,9.00,,"Curitiba, Paraná, Brazil","[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Marketing and Sales'],https://www.linkedin.com/company/benovaoficial,,,,
Nexaas,MYFINANCE CONSULTORIA E INFORMATICA S.A.,17.799.377/0001-55,"17,236,400.00",10 – 100 milhões,Desenvolvimento de programas de computador sob encomenda,66.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Sales and Business Development'],https://www.linkedin.com/company/nexaas,,,,
iRancho,RANCHO SOLUCOES EM TECNOLOGIA S.A.,26.542.466/0001-02,"1,600,022.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,65.00,,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Information Services'}}],['Marketing and Sales'],https://www.linkedin.com/company/irancho,,,,
Garupa App,GARUPA DESENVOLVIMENTO DE SISTEMAS LTDA,20.353.275/0001-16,"600,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,175.00,,"Balneário Camboriú, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Computer and Network Security'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/garupa-app,,,,
Ewally,EWALLY INSTITUICAO DE PAGAMENTO S.A,00.714.671/0001-14,"57,239,825.00",10 – 100 milhões,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,45.00,,Brazil,[{'job_industry_list': {'industry': 'Financial Services'}}],['Information Technology'],https://www.linkedin.com/company/ewallyapp,,,,
QiBit,GI GROUP BRASIL RECURSOS HUMANOS LTDA,04.236.064/0001-47,"150,904,040.70",100 milhões – 1 bilhão,Locação de mão-de-obra temporária,175.00,,Brazil,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/qibit-tech,,,,
GuiaInvest,GUIAINVEST CONSULTORIA DE INVESTIMENTOS LTDA.,03.271.868/0001-14,"16,784,602.00",10 – 100 milhões,Atividades de consultoria em gestão empresarial,64.00,,"Itajaí, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Human Resources'],https://www.linkedin.com/company/guiainvest,,,,
Salesjobs,,17.391.047/0001-26,,Até 100 mil,,322.00,,"Caieiras, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/salesjobs-io,,,,
Engenha,ENGENHA SERVICOS LTDA,17.391.047/0001-26,"100,000.00",Até 100 mil,Serviços combinados de escritório e apoio administrativo,113.00,,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Management and Manufacturing'],https://www.linkedin.com/company/engenha,,,,
Whirlpool Corporation,WHIRLPOOL S.A,59.105.999/0001-86,"1,159,102,348.07",Acima de 1 bilhão,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios","44,770.00",,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Manufacturing'}}],['Other'],https://www.linkedin.com/company/whirlpool-corporation,,,,
Mercado Binário,MERCADO BINARIO ELEVA WEB LTDA,23.547.072/0001-59,"100,000.00",Até 100 mil,Marketing direto,30.00,,"São Paulo, São Paulo, Brazil",[],[],https://www.linkedin.com/company/mercado-bin%c3%a1rio,,,,
Logical Minds,LOGICAL MINDS IT SERVICES LTDA,20.626.333/0001-38,"10,000.00",Até 100 mil,Atividades de consultoria em gestão empresarial,34.00,,"Campinas, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Farming'}}],['Purchasing'],https://www.linkedin.com/company/logical-minds,,,,
Best Life com você.,BEST LIFE CONSULTORIA LTDA,55.825.618/0001-82,"1,000.00",Até 100 mil,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",138.00,,"Barueri, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Sales and Business Development'],https://www.linkedin.com/company/bestlife-sa%c3%bade,,,,
GeekHunter,GEEK HUNTER SELECAO E AGENCIAMENTO DE MAO-DE-OBRA LTDA,22.194.541/0001-30,"2,601,034.00",1 – 10 milhões,Seleção e agenciamento de mão-de-obra,43.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Staffing and Recruiting'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/geekhunter-brasil,,,,
Elite Formações,CENTRO EDUCACIONAL ELITE LTDA,47.952.849/0001-29,"330,000.00",100 mil – 1 milhão,Treinamento em desenvolvimento profissional e gerencial,17.00,,"Maceió, Alagoas, Brazil",[{'job_industry_list': {'industry': 'Higher Education and Education'}}],['Customer Service'],https://www.linkedin.com/company/elite-formacoes,,,,
Kantar Media,KANTAR IBOPE PESQUISA DE MIDIA LTDA,42.196.550/0001-78,"925,540,800.00",100 milhões – 1 bilhão,Pesquisas de mercado e de opinião pública,"1,612.00",,"Santo André, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Marketing Services'}}],['Other'],https://www.linkedin.com/company/kantar-media,,,,
MUT Logística,MUT LOGISTICA E TRANSPORTES LTDA,22.417.374/0001-40,"1,000,000.00",100 mil – 1 milhão,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",12.00,,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Truck Transportation'}}],['Management and Manufacturing'],https://www.linkedin.com/company/mutlogistica,,,,
Getrak,GETRAK SERVICOS S/A,06.349.959/0001-13,"46,424,209.99",10 – 100 milhões,Comércio varejista especializado de equipamentos de telefonia e comunicação,166.00,,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/getrak,,,,
SFERA Multifranquias,LVB - LEVI COMERCIO DE ROUPAS LTDA,10.446.876/0001-10,"62,200.00",Até 100 mil,********,160.00,,"Rio de Janeiro, Rio de Janeiro, Brazil",[{'job_industry_list': {'industry': 'Retail'}}],['Sales and Business Development'],https://www.linkedin.com/company/sfera-multifranquias,,,,
C2C Services,C2C SERVICOS DE VIAGENS LTDA,23.456.596/0001-34,"10,000.00",Até 100 mil,Atividades de teleatendimento,36.00,,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Consulting'],https://www.linkedin.com/company/c2c-travel-services,,,,
Cloud2Go,CLOUD2GO SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA.,03.836.416/0001-32,"100,000.00",Até 100 mil,Desenvolvimento de programas de computador sob encomenda,24.00,,"Rio Grande do Sul, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Business Development and Sales'],https://www.linkedin.com/company/cloud2go,,,,
Softtek,SOFTTEK SOLUCOES EM SISTEMAS LTDA.,15.622.088/0001-50,"21,224,480.00",10 – 100 milhões,Desenvolvimento de programas de computador sob encomenda,"13,669.00",,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],https://www.linkedin.com/company/softtek,,,,
EmCasa,EC NEGOCIOS IMOBILIARIOS LTDA.,29.212.794/0001-39,"147,652,543.00",100 milhões – 1 bilhão,Corretagem na compra e venda e avaliação de imóveis,"4,684.00",,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'Real Estate'}}],['Sales and Business Development'],https://www.linkedin.com/company/emcasa,,,,
SharePrime,SHAREPRIME TECNOLOGIA LTDA,21.456.509/0001-13,"25,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador customizáveis,29.00,,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/shareprime,,,,
Pocketech,POCKETECH SOLUCOES EM TECNOLOGIA LTDA,35.692.678/0001-67,"100,000.00",Até 100 mil,Comércio atacadista de artigos de escritório e de papelaria,9.00,,"Cotia, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Wholesale'}}],['Education and Training'],https://www.linkedin.com/company/pocketech,,,,
Bússola Social,BUSSOLA TECNOLOGIA SOCIAL LTDA,29.751.789/0001-02,"10,000.00",Até 100 mil,Desenvolvimento de programas de computador sob encomenda,48.00,,Brazil,[],[],https://www.linkedin.com/company/bussola-social,,,,
EASY LIVE,EASYLIVE ENTRETENIMENTO S.A.,04.343.085/0001-61,"155,465.00",100 mil – 1 milhão,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",57.00,,"Santa Maria, Rio Grande do Sul, Brazil",[{'job_industry_list': {'industry': 'Entertainment Providers'}}],['Other'],https://www.linkedin.com/company/easylive,,,,
Vision Marine Training,VISION MARINE NAUTICAL TRAINING CENTER LTDA.,44.990.460/0001-80,"50,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,32.00,,"Rio de Janeiro, Brazil",[],[],https://www.linkedin.com/company/visionmarinetrainingoficial,,,,
FIG Cool Leather,LEATHER F COMERCIO DE COUROS LTDA,37.868.904/0001-43,"20,000.00",Até 100 mil,"Comércio atacadista de couros, lãs, peles e outros subprodutos não comestíveis de origem animal",15.00,,"Caxias do Sul, Rio Grande do Sul, Brazil",[],[],https://www.linkedin.com/company/figcool,,,,
Mega Leilões,TGBFC INTERMEDIACAO DE ATIVOS LTDA.,10.915.046/0001-94,"100,000.00",Até 100 mil,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",63.00,,"São Paulo, São Paulo, Brazil",[],[],https://www.linkedin.com/company/megaleiloes,,,,
Projeto Ambiental,AR PROJETO AMBIENTAL LTDA,05.231.644/0001-04,"1,000,000.00",100 mil – 1 milhão,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,29.00,,"Cajamar, São Paulo, Brazil",[],[],https://www.linkedin.com/company/projeto-ambiental,,,,
Impact Legal Performance,IMPACT LEGAL PERFORMANCE ASSESSORIA ESTRATEGICA LTDA,32.661.627/0001-80,"10,000.00",Até 100 mil,Atividades de consultoria em gestão empresarial,10.00,,"São Paulo, São Paulo, Brazil",[],[],https://www.linkedin.com/company/impactlegal,,,,
BelaSementes,BELA SEMENTES INDUSTRIA E COMERCIO DE SEMENTES LTDA,24.692.714/0001-76,"38,298,118.00",10 – 100 milhões,"Comércio atacadista de sementes, flores, plantas e gramas",72.00,,"Patos de Minas, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Farming'}}],['Other'],https://www.linkedin.com/company/belasementesoficial,,,,
