Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Linkedin,Unique Segmento,Contagem de Segmento,Top Segmentos,
Método Engenharia,METODO ENGENHARIA LTDA - EM RECUPERACAO JUDICIAL,58.700.428/0001-27,"40,000,000.00",10 – 100 milhões,Obras de montagem industrial,909.00,501–1000,Brazil,[{'job_industry_list': {'industry': 'Construction'}}],['Other'],https://www.linkedin.com/company/metodo-engenharia,"Lanchonetes, casas de chá, de sucos e similares",1,"Fabricação de tintas, vernizes, esmaltes e lacas",1
Revenda Mais,MARCHETTI E MARCHETTI TECNOLOGIA LTDA,03.995.142/0001-24,"100,000.00",Até 100 mil,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",60.00,51–200,"Curitiba, Paraná, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/revenda-mais,Comércio varejista especializado de equipamentos de telefonia e comunicação,2,Manutenção e reparação de veículos ferroviários,1
Grand Commerce,GRAND COMMERCE LTDA,22.745.664/0001-12,"4,650,000.00",1 – 10 milhões,Comércio varejista de material elétrico,77.00,51–200,"Curitiba, Paraná, Brazil",[{'job_industry_list': {'industry': 'Retail'}}],['Business Development and Sales'],https://www.linkedin.com/company/grandcommerce,Atividades de condicionamento físico,1,"Lanchonetes, casas de chá, de sucos e similares",1
Talklink,TALKLINK COMERCIO DE EQUIPAMENTOS E SERVICOS DE COMUNICACAO LTDA,02.382.035/0001-68,"104,500.00",100 mil – 1 milhão,Provedores de acesso às redes de comunicações,88.00,51–200,"Rio Claro, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Telecommunications'}}],['Business Development and Sales'],https://www.linkedin.com/company/talklink,Operadores turísticos,1,Atividades de condicionamento físico,1
Digix,DIGITHOBRASIL SOLUCOES EM SOFTWARE LTDA,04.496.152/0001-88,"10,000,000.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,391.00,201–500,"Campo Grande, Mato Grosso do Sul, Brazil",[{'job_industry_list': {'industry': 'IT System Custom Software Development'}}],"['Research, Analyst, and Information Technology']",https://www.linkedin.com/company/somosdigix,Fabricação de outros produtos alimentícios não especificados anteriormente,1,Operadores turísticos,1
BWP SA,BWP TRADING COMERCIO ATACADISTA E SERVICOS LTDA,31.825.480/0005-87,"300,000.00",100 mil – 1 milhão,Comércio atacadista de madeira e produtos derivados,38.00,11–50,"Vila Velha, Espírito Santo, Brazil",[{'job_industry_list': {'industry': 'International Trade and Development'}}],['Finance and Sales'],https://www.linkedin.com/company/bwptrading,"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança",1,Fabricação de outros produtos alimentícios não especificados anteriormente,1
Busbud,BUSBUD BRASIL RESERVA DE PASSAGENS LTDA.,28.335.817/0001-30,"121,119.00",100 mil – 1 milhão,Serviços de reservas e outros serviços de turismo não especificados anteriormente,86.00,51–200,"São José dos Campos, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Internet Publishing'}}],['Accounting/Auditing and Finance'],https://www.linkedin.com/company/busbud,Cursos preparatórios para concursos,1,"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança",1
market4u,MARKET4U MERCADO AUTONOMO LTDA,30.296.675/0001-90,"2,110,990.00",1 – 10 milhões,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",415.00,201–500,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],https://www.linkedin.com/company/market4ubr,Fabricação de artefatos têxteis para uso doméstico,1,Cursos preparatórios para concursos,1
ICTS,ICTS GESTAO E PROJETOS DE SEGURANCA LTDA.,24.792.440/0001-97,"10,000.00",Até 100 mil,Atividades de consultoria em gestão empresarial,713.00,501–1000,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'Human Resources Services and Business Consulting and Services'}}],['Human Resources and Consulting'],https://www.linkedin.com/company/somosicts,Comércio atacadista de energia elétrica,2,Fabricação de artefatos têxteis para uso doméstico,1
BYX,,NÃO ENCONTRADO,,Até 100 mil,,175.00,51–200,"São Paulo, São Paulo, Brazil","[{'job_industry_list': {'industry': 'Financial Services, Banking, and Investment Banking'}}]",['Product Management'],https://www.linkedin.com/company/grupobyx,"Comércio a varejo de automóveis, camionetas e utilitários usados",1,"Comércio a varejo de automóveis, camionetas e utilitários usados",1
Vai Voando,,NÃO ENCONTRADO,,Até 100 mil,,109.00,51–200,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Finance and Sales'],https://www.linkedin.com/company/vai-voando,Securitização de créditos,1,Securitização de créditos,1
RHF TALENTOS CONTAGEM,,NÃO ENCONTRADO,,Até 100 mil,,13.00,11–50,"Sabará, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Sales and Business Development'],https://www.linkedin.com/company/rhftalentosminasgerais,Outras atividades de ensino não especificadas anteriormente,1,Outras atividades de ensino não especificadas anteriormente,1
Empiricus,,NÃO ENCONTRADO,,Até 100 mil,,273.00,201–500,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'Book and Periodical Publishing'}}],"['Finance, Customer Service, and Education']",https://www.linkedin.com/company/empiricusinvestimentos,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada",1,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada",1
ActiveCampaign,,NÃO ENCONTRADO,,Até 100 mil,,849.00,501–1000,Brazil,[{'job_industry_list': {'industry': 'Software Development'}}],['Business Development and Sales'],https://www.linkedin.com/company/activecampaign,Gestão e administração da propriedade imobiliária,1,Gestão e administração da propriedade imobiliária,1
Belagrícola,BELAGRICOLA COMERCIO E REPRESENTACOES DE PRODUTOS AGRICOLAS S.A.,79.038.097/0001-81,"562,976,521.00",100 milhões – 1 bilhão,Comércio atacadista de soja,"1,143.00",1001-5000,"Londrina, Paraná, Brazil",[{'job_industry_list': {'industry': 'Farming and Retail'}}],"['Strategy/Planning, Human Resources, and Training']",https://www.linkedin.com/company/belagricola,Atividades de associações de defesa de direitos sociais,1,Atividades de associações de defesa de direitos sociais,1
Reply,REPLY DO BRASIL SISTEMAS DE INFORMATICA LTDA.,13.013.857/0001-98,"650,000.00",100 mil – 1 milhão,"Suporte técnico, manutenção e outros serviços em tecnologia da informação","16,410.00",+10000,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],https://www.linkedin.com/company/reply,Corretagem na compra e venda e avaliação de imóveis,2,Atividades de atenção ambulatorial não especificadas anteriormente,1
Meep,MEEP SOLUCOES S.A,28.302.604/0001-01,"3,000,000.00",1 – 10 milhões,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",236.00,201–500,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Administrative'],https://www.linkedin.com/company/meep-app,Atividades de atenção ambulatorial não especificadas anteriormente,1,Comércio atacadista de ferragens e ferramentas,1
Fever,HANNA INTERNET LTDA,09.200.279/0001-21,"50,000.00",Até 100 mil,********,"3,532.00",1001-5000,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Accounting/Auditing and Finance'],https://www.linkedin.com/company/fever-up,Comércio atacadista de ferragens e ferramentas,1,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",1
weme,WEME LTDA,08.285.034/0001-81,"201,000.00",100 mil – 1 milhão,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",78.00,51–200,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Product Management and Marketing'],https://www.linkedin.com/company/weme,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",1,Comércio varejista de outros produtos não especificados anteriormente,1
Mitre Realty,MITRE REALTY EMPREENDIMENTOS E PARTICIPACOES S.A.,07.882.930/0001-65,"1,014,824,026.00",Acima de 1 bilhão,Incorporação de empreendimentos imobiliários,700.00,501–1000,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Real Estate'}}],['Other'],https://www.linkedin.com/company/mitre-realty,Comércio varejista de outros produtos não especificados anteriormente,1,Testes e análises técnicas,1
Âme Gastronomia,AME GASTRONOMIA LTDA,19.827.590/0001-59,"888,909.00",100 mil – 1 milhão,Fornecimento de alimentos preparados preponderantemente para empresas,127.00,51–200,"Agudos, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Administrative and Support Services'}}],['Administrative'],https://www.linkedin.com/company/amegastronomia,Testes e análises técnicas,1,Atividade odontológica,1
Firedev IT,FIREDEV SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,34.658.093/0001-68,"100,000.00",Até 100 mil,Desenvolvimento de programas de computador sob encomenda,57.00,51–200,Brazil,[{'job_industry_list': {'industry': 'Information Technology & Services and IT Services and IT Consulting'}}],['Information Technology'],https://www.linkedin.com/company/firedevbr,Atividade odontológica,1,Atividades de psicologia e psicanálise,1
Portão 3 (YC S21),PORTAO 3 VIAGENS LTDA.,28.352.868/0001-70,"14,721,576.00",10 – 100 milhões,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",49.00,11–50,"Uberlândia, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Software Development and Banking'}}],['Information Technology'],https://www.linkedin.com/company/portao-3,Atividades de psicologia e psicanálise,1,Cultivo de soja,1
Convert,CONVERT COMUNICACAO LTDA,43.955.000/0001-58,"100,000.00",Até 100 mil,Agências de publicidade,95.00,51–200,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Public Relations and Communications Services'}}],['Other'],https://www.linkedin.com/company/convert-digital-business,Cultivo de soja,1,Comércio varejista de móveis,1
IHS Towers,IHS BRASIL CESSAO DE INFRAESTRUTURAS SA,15.811.119/0001-11,"2,765,985,470.13",Acima de 1 bilhão,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador","3,695.00",1001-5000,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Telecommunications'}}],['Legal'],https://www.linkedin.com/company/ihstowers,Comércio varejista de móveis,1,Fabricação de móveis com predominância de madeira,1
Studio Rx | An IPG Health Company,,02.288.589/0001-09,,Até 100 mil,,159.00,51–200,Brazil,[{'job_industry_list': {'industry': 'Advertising Services'}}],"['Advertising, Art/Creative, and Design']",https://www.linkedin.com/company/studio-rx,Fabricação de móveis com predominância de madeira,1,Comércio a varejo de motocicletas e motonetas novas,1
Colégio Everest Internacional - Curitiba,INSTITUTO EDUCACIONAL EVEREST,,0.00,Até 100 mil,Ensino fundamental,136.00,51–200,"Curitiba, Paraná, Brazil",[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Other'],https://www.linkedin.com/company/colegioeverestcuritiba,Comércio a varejo de motocicletas e motonetas novas,1,Construção de edifícios,1
Vittude,VITTUDE TECNOLOGIA S.A.,24.809.084/0001-77,"23,774,915.00",10 – 100 milhões,"Portais, provedores de conteúdo e outros serviços de informação na internet",194.00,51–200,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/vittude,Construção de edifícios,1,Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências,1
Ahards,AHARDS SISTEMAS S/A,08.202.415/0001-50,"45,658,870.70",10 – 100 milhões,Fabricação de cronômetros e relógios,32.00,11–50,"Florianópolis, Santa Catarina, Brazil","[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Engineering and Information Technology'],https://www.linkedin.com/company/ahards,Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências,1,"Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório",1
Neobag,NEOBAG DISTRIBUIDORA LTDA,54.782.250/0001-50,"700,000.00",100 mil – 1 milhão,Comércio atacadista de embalagens,19.00,11–50,"Goiânia, Goiás, Brazil",[{'job_industry_list': {'industry': 'Packaging and Containers Manufacturing'}}],[],https://www.linkedin.com/company/neobagoficial,"Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório",1,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",1
Devgo,DEVGO TECH LTDA,40.541.688/0001-31,"30,000.00",Até 100 mil,Desenvolvimento de programas de computador sob encomenda,7.00,0–10,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],https://www.linkedin.com/company/devgodigital,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",1,Comércio a varejo de pneumáticos e câmaras-de-ar,1
Safira Holding,SAFIRA HOLDING S.A,13.522.948/0001-59,"62,879,277.64",10 – 100 milhões,Holdings de instituições não-financeiras,280.00,201–500,"Barueri, São Paulo, Brazil","[{'job_industry_list': {'industry': 'Appliances, Electrical, and Electronics Manufacturing'}}]",['Other'],https://www.linkedin.com/company/gruposafira,Comércio a varejo de pneumáticos e câmaras-de-ar,1,Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças,1
Join LinkedIn,CONQUER HOLDING EDUCACIONAL S.A.,26.058.324/0001-74,"17,943,431.00",10 – 100 milhões,Treinamento em informática,Não encontrado,+10000,Brazil,[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Other'],https://www.linkedin.com/school/escolaconquer/,Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças,1,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",1
Sizebay,SIZEBAY SERVICOS DE INFORMATICA LTDA,20.867.526/0001-80,"1,531,538.00",1 – 10 milhões,"Portais, provedores de conteúdo e outros serviços de informação na internet",81.00,51–200,"Joinville, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Sales and Business Development'],https://www.linkedin.com/company/sizebay,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",1,Atividades do Operador Portuário,1
Trust,TRUST CONSULTORIA EMPRESARIAL LTDA,05.615.104/0001-24,"14,000.00",Até 100 mil,Atividades de contabilidade,508.00,501–1000,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Sales and Business Development'],https://www.linkedin.com/company/trustoficial,Atividades do Operador Portuário,1,Atividades de organizações associativas patronais e empresariais,1
Ayvens,ALD AUTOMOTIVE S.A.,07.563.781/0001-71,"364,164,739.00",100 milhões – 1 bilhão,Locação de automóveis sem condutor,"9,116.00",5001-10000,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Management and Manufacturing'],https://www.linkedin.com/company/ayvens,Atividades de organizações associativas patronais e empresariais,1,Web desing,1
