Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
popeyes,ZAMP S.A.,13.574.594/0001-96,"1,911,068,419.57",Acima de 1 bilhão,"Lanchonetes, casas de chá, de sucos e similares",3999,1001-5000,,[{'job_industry_list': {'industry': 'Utilities'}}],['Sales and Business Development'],,,,
Vórtx,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,22.610.500/0001-88,"8,688,388.00",1 – 10 milhões,Distribuidoras de títulos e valores mobiliários,300,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Financial Services'}}],['Accounting/Auditing and Finance'],,,,
Mycon,COIMEX ADMINISTRADORA DE CONSORCIOS S.A,27.268.770/0001-76,"56,814,700.00",10 – 100 milhões,Administração de consórcios para aquisição de bens e direitos,188,51–200,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Banking'}}],['Other'],,,,
Smarthis,SMARTHIS CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,29.862.205/0001-68,"10,000.00",Até 100 mil,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",159,51–200,"Rio de Janeiro, Rio de Janeiro",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],,,,
Terral Incorporadora,TERRAL INCORPORACOES E PARTICIPACOES LTDA,13.070.562/0001-53,"81,289,498.00",10 – 100 milhões,Atividades de consultoria em gestão empresarial,300,201–500,"Goiânia, GO",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],,,,
Amend Cosméticos,AMEND COSMETICOS INDUSTRIA E COMERCIO LTDA,69.258.630/0001-67,0,Até 100 mil,********,479,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],,,,
Cimento Apodi,COMPANHIA INDUSTRIAL DE CIMENTO APODI,10.260.249/0001-90,"603,884,027.75",100 milhões – 1 bilhão,Fabricação de cimento,601,501–1000,"Fortaleza, Ceara",[{'job_industry_list': {'industry': 'Construction'}}],['Other'],,,,
Safira Holding,SAFIRA HOLDING S.A,13.522.948/0001-59,"62,879,277.64",10 – 100 milhões,Holdings de instituições não-financeiras,280,201–500,"Barueri, São Paulo","[{'job_industry_list': {'industry': 'Appliances, Electrical, and Electronics Manufacturing'}}]",['Other'],,,,
Perbras,PERBRAS EMPRESA BRASILEIRA DE PERFURACOES LTDA,15.126.451/0001-47,"30,009,016.00",10 – 100 milhões,Atividades de apoio à extração de petróleo e gás natural,3347,1001-5000,"Catu,  Bahia",[{'job_industry_list': {'industry': 'Oil and Gas'}}],['Engineering and Information Technology'],,,,
Jobs,JOBS TECNOLOGIA LTDA,37.621.654/0001-42,"60,000.00",Até 100 mil,********,41,11–50,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Advertising Services'}}],['Human Resources'],,,,
