Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
Crawford Brasil,Crawford Brasil Reguladora de Sinistros Ltda,43.193.531/0001-50,"65,042,617.00",10 – 100 milhões,Peritos e avaliadores de seguros,~170,100–199,"São Paulo, SP",,,Serviços financeiros,1,Holdings de instituições não-financeiras,15
AFPESP,Associação dos Funcionários Públicos do Estado de São Paulo,62.149.000/0001‑05,,Até 100 mil,Associação pública,240.000 associados,n/d,"São Paulo, SP",,,Setor público,1,Desenvolvimento de programas de computador sob encomenda,14
VESTE,Veste S.A. Estilo,49.669.856/0001-43,"934,807,151.80",100 milhões – 1 bilhão,Comércio varejista de vestuário,~4.000,1.000–9.999,Nacional (180 lojas),,,Varejo,1,Consultoria em tecnologia da informação,11
Socicam,Socicam Infraestrutura e Participações Ltda,43.217.280/0001‑05,"15,000,000.00",10 – 100 milhões,Terminais rodoviários e ferroviários,~5.000,1.000–9.999,Brasil e Chile,,,Infraestrutura,1,Desenvolvimento e licenciamento de programas de computador não-customizáveis,11
Volkswagen Caminhões e Ônibus,Volkswagen Caminhões e Ônibus Comércio e Serviços Ltda,06.020.318/0001‑10,"2,626,625,288.00",Acima de 1 bilhão,Comércio de veículos pesados,~3.250,1.000–9.999,"Limeira, SP (nacional/regional)",,,Indústria automotiva,1,Desenvolvimento e licenciamento de programas de computador customizáveis,10
Coop,Coop – Cooperativa de Consumo,57.508.426/0001‑78,,Até 100 mil,Comércio varejista cooperativo,~5.000,1.000–9.999,"Santo André, SP (regional)",,,Varejo,1,********,10
CATHO,Catho Online LTDA,03.753.088/0001-00,"711,372.00",100 mil – 1 milhão,Tecnologia / Portais de emprego,~80 usuários (freq.),< 100,"Barueri, SP",,,Tecnologia,1,Serviços combinados de escritório e apoio administrativo,6
Unimed Seguros,Seguros Unimed S/A,04.487.255/0001‑81,"750,000,003.00",100 milhões – 1 bilhão,Seguros / Saúde,~448 usuários frequent.,100–999,"São Paulo, SP (19 escritórios)",,,Saúde,1,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",6
Dexco,DEXCO S.A,97.837.181/0001-47,"3,370,188,626.80",Acima de 1 bilhão,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",5464,5001-10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Construction'}}],['Management and Manufacturing'],"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",1,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",6
Solutta Consultoria,SOLUTTA SERVICOS ADMINISTRATIVOS LTDA,05.759.157/0001-19,"2,500,000.00",1 – 10 milhões,Serviços combinados de escritório e apoio administrativo,317,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Accounting'}}],['Administrative'],Serviços combinados de escritório e apoio administrativo,6,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",5
Bunge,BUNGE ALIMENTOS S/A,84.046.101/0001-93,"3,089,948,049.43",Acima de 1 bilhão,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",21618,+10000,"Chesterfield, Missouri",[{'job_industry_list': {'industry': 'Food and Beverage Manufacturing'}}],['Management and Manufacturing'],"Fabricação de óleos vegetais em bruto, exceto óleo de milho",1,"Portais, provedores de conteúdo e outros serviços de informação na internet",5
unico IDtech,ACESSO DIGITAL TECNOLOGIA DA INFORMACAO S.A.,05.563.165/0001-95,"927,344,440.81",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador customizáveis,762,501–1000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],Desenvolvimento e licenciamento de programas de computador customizáveis,10,Incorporação de empreendimentos imobiliários,5
iblue Consulting,IBLUE CONSULTING LTDA.,24.632.774/0001-01,"308,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,52,51–200,Rio de Janeiro,[{'job_industry_list': {'industry': 'Consumer Services'}}],"['Other', 'Research, Analyst, and Information Technology']",Desenvolvimento de programas de computador sob encomenda,14,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",5
Lev Bicicletas,RBJL COMERCIO DE BICICLETAS LTDA,22.682.168/0001-67,"10,000,000.00",1 – 10 milhões,Comércio a varejo de motocicletas e motonetas novas,223,201–500,Rio de Janeiro,[{'job_industry_list': {'industry': 'Motor Vehicle Manufacturing'}}],"['Other, Information Technology, and Management']",Comércio a varejo de motocicletas e motonetas novas,1,Comércio varejista especializado de equipamentos e suprimentos de informática,5
Brasil Forte,BRASIL FORTE - VIGILANCIA E SEGURANCA LTDA,05.290.522/0001-99,"825,500.00",100 mil – 1 milhão,Atividades de vigilância e segurança privada,203,201–500,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'Security and Investigations'}}],"['Other, Information Technology, and Management']",Atividades de vigilância e segurança privada,2,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",4
Attivo Group,ATTIVO NEGOCIOS CORPORATIVOS LTDA,18.464.894/0001-36,"10,000.00",Até 100 mil,Atividades de consultoria em gestão empresarial,83,51–200,São Paulo,[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Management and Manufacturing'],Atividades de consultoria em gestão empresarial,3,Construção de edifícios,4
Grupo Qualitycert,QUALITYCERT CERTIFICACAO LTDA,24.783.329/0001-34,"200,000.00",100 mil – 1 milhão,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",208,201–500,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Information Technology & Services'}}],['Sales'],"Suporte técnico, manutenção e outros serviços em tecnologia da informação",6,Atividades de contabilidade,4
Bridge & Co.,BRIDGE CONSULTING TECNOLOGIA DA INFORMACAO LTDA,11.661.731/0001-02,"56,000.00",Até 100 mil,Consultoria em tecnologia da informação,129,51–200,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Human Resources'],Consultoria em tecnologia da informação,11,Serviços de engenharia,4
Depyl Action,DEPYL LF SERVICOS DE DEPILACAO LTDA,09.001.048/0001-99,"10,000.00",Até 100 mil,Atividades de estética e outros serviços de cuidados com a beleza,530,501–1000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Customer Service'],Atividades de estética e outros serviços de cuidados com a beleza,1,Treinamento em desenvolvimento profissional e gerencial,4
Fundação Butantan,FUNDACAO BUTANTAN,61.189.445/0001-56,0,Até 100 mil,Outras atividades de atenção à saúde humana não especificadas anteriormente,1871,1001-5000,"São Paulo, são paulo",[{'job_industry_list': {'industry': 'Biotechnology Research'}}],"['Other, Information Technology, and Management']",Outras atividades de atenção à saúde humana não especificadas anteriormente,1,Atividades de consultoria em gestão empresarial,3
INOVAR TELECOM,INOVARTELECOM SERVICOS DE TELECOMUNICACOES LTDA,08.597.500/0001-64,"300,000.00",100 mil – 1 milhão,Reparação e manutenção de equipamentos de comunicação,103,51–200,"Salvador, Bahia",[{'job_industry_list': {'industry': 'Telecommunications'}}],['Management and Manufacturing'],Reparação e manutenção de equipamentos de comunicação,1,Atividades de administração de fundos por contrato ou comissão,3
WLAN INTERNET FIBRA,WLAN INTERNET BANDA LARGA LTDA,14.644.092/0001-57,"104,500.00",100 mil – 1 milhão,Serviços de comunicação multimídia - SCM,123,51–200,"Belém, PARÁ",[{'job_industry_list': {'industry': 'Telecommunications'}}],"['Engineering and Information Technology', 'Management and Manufacturing']",Serviços de comunicação multimídia - SCM,1,Planos de saúde,3
AMARO,AMARO LTDA.,15.070.688/0001-53,"403,324,510.00",100 milhões – 1 bilhão,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",547,501–1000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Retail'}}],['Finance and Sales'],"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",5,Fabricação de outros produtos químicos não especificados anteriormente,3
SouthRock,SOUTHROCK CAPITAL LTDA. - EM RECUPERACAO JUDICIAL,11.884.896/0001-35,"11,461,175.00",10 – 100 milhões,Atividades de administração de fundos por contrato ou comissão,124,51–200,"São Paulo, SP",[{'job_industry_list': {'industry': 'Food and Beverage Services'}}],['Other'],Atividades de administração de fundos por contrato ou comissão,3,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,3
DERALDO RIOS PINHEIRO LABORATORIO ANALISES CLINICAS - LABOCLIN,DERALDO RIOS PINHEIRO LABORATORIO ANALISES CLINICAS LTDA,13.551.767/0001-50,"75,000.00",Até 100 mil,Laboratórios clínicos,88,51–200,"Salvador, Bahia",[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],['Accounting/Auditing and Finance'],Laboratórios clínicos,2,Serviços de funerárias,3
NotreDame Intermédica,NOTRE DAME INTERMEDICA SAUDE S.A.,44.649.812/0001-38,"12,338,757,807.44",Acima de 1 bilhão,Planos de saúde,13038,+10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Insurance'}}],['Finance and Sales'],Planos de saúde,3,Agências de viagens,3
Atacadão,ATACADAO S.A.,75.315.333/0001-09,"17,304,241,526.26",Acima de 1 bilhão,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",58645,+10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Retail Groceries'}}],['Other'],"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",1,Serviços de reservas e outros serviços de turismo não especificados anteriormente,3
Itaú Unibanco,ITAU UNIBANCO S.A.,60.701.190/0001-04,"70,449,914,499.75",Acima de 1 bilhão,Bancos comerciais,111275,+10000,"Sao Paulo, Sao Paulo",[{'job_industry_list': {'industry': 'Banking'}}],['Sales and Business Development'],Bancos comerciais,1,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",3
ONNO Log,ONNO LOGISTICA LTDA.,26.756.350/0001-76,"73,898,000.00",10 – 100 milhões,Terminais rodoviários e ferroviários,169,51–200,"Belo Horizonte, Minas Gerais","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",['Management and Manufacturing'],Terminais rodoviários e ferroviários,1,Atividades de vigilância e segurança privada,2
Flukka Pharma,FLUKKA FARMACIA DE MANIPULACAO LTDA,10.450.805/0001-90,"10,000.00",Até 100 mil,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",122,51–200,"São Bernardo do Campo, São Paulo",[{'job_industry_list': {'industry': 'Pharmaceutical Manufacturing'}}],['Sales'],"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",2,Laboratórios clínicos,2
BHub,BHUB SERVICOS E TECNOLOGIA LTDA,42.330.545/0001-06,"238,686,615.00",100 milhões – 1 bilhão,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",620,501–1000,"São Paulo, São Paulo","[{'job_industry_list': {'industry': 'Accounting'}}, {'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Accounting/Auditing and Finance'],"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",4,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",2
Senior Sistemas,SENIOR SISTEMAS S/A,80.680.093/0001-81,"380,904,900.00",100 milhões – 1 bilhão,Desenvolvimento de programas de computador sob encomenda,3332,1001-5000,"Blumenau, SC",[{'job_industry_list': {'industry': 'Software Development'}}],['Sales and Business Development'],Comércio varejista de materiais de construção não especificados anteriormente,1,Comércio atacadista de cosméticos e produtos de perfumaria,2
Village Home Center,VILLAGE MATERIAIS DE ACABAMENTO LTDA,61.082.491/0001-51,"252,000.00",100 mil – 1 milhão,Comércio varejista de materiais de construção não especificados anteriormente,220,201–500,"OSASCO, SÃO PAULO","[{'job_industry_list': {'industry': 'Retail'}}, {'job_industry_list': {'industry': ''}}]","['Other', 'Sales and Business Development']",Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,1,Atividades de teleatendimento,2
Sólides,SOLIDES TECNOLOGIA S/A,10.461.302/0001-10,"150,000,000.00",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador customizáveis,1075,1001-5000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Sales'],Holdings de instituições não-financeiras,15,Comércio varejista de outros produtos não especificados anteriormente,2
GestãoClick,CLICK DIGITAL SOLUTIONS LTDA,20.215.683/0001-01,"10,000.00",Até 100 mil,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",159,51–200,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Software Development'}}],['Administrative'],"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",6,Comércio varejista de artigos do vestuário e acessórios,2
Tambasa Atacadistas,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S/A,17.359.233/0001-88,"383,000,000.00",100 milhões – 1 bilhão,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,3130,1001-5000,"Contagem, Minas Gerais","[{'job_industry_list': {'industry': 'Insurance'}}, {'job_industry_list': {'industry': 'Wholesale'}}]",['Other'],Serviços de assistência social sem alojamento,1,Fornecimento e gestão de recursos humanos para terceiros,2
Gentil Negócios,GENTIL NEGOCIOS PARTICIPACOES SOCIETARIAS LTDA,17.518.733/0001-15,"500,000.00",100 mil – 1 milhão,Holdings de instituições não-financeiras,611,501–1000,"Natal, Rio Grande do Norte",[{'job_industry_list': {'industry': 'Retail'}}],['Sales'],Fabricação de outros produtos químicos não especificados anteriormente,3,Pesquisas de mercado e de opinião pública,2
Assaí Atacadista,SENDAS DISTRIBUIDORA S/A,06.057.223/0001-71,"1,455,769,804.94",Acima de 1 bilhão,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",54682,+10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Retail'}}],"['Other', 'Sales and Business Development']",Fabricação de painéis e letreiros luminosos,1,Promoção de vendas,2
CERC,SER ESPECIAL - ASSOCIACAO ASSISTENCIAL DE INTEGRACAO AO TRABALHO,23.399.607/0001-91,0,Até 100 mil,Serviços de assistência social sem alojamento,327,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],"['Accounting/Auditing and Finance', 'Finance and Sales']",Comércio varejista de material elétrico,1,Atividades de psicologia e psicanálise,2
TDS Company,CERC SA,32.616.080/0001-09,"164,977,209.42",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador customizáveis,95,51–200,"Recife, Pernambuco",[{'job_industry_list': {'industry': 'Information Technology & Services'}}],['Information Technology'],Desenvolvimento e licenciamento de programas de computador não-customizáveis,11,Fabricação de cimento,2
XIS DESIGN COMUNICAÇÃO VISUAL,TDS COMPANY & INDUSTRIA QUIMICA LTDA,03.227.377/0001-76,"120,000.00",100 mil – 1 milhão,Fabricação de outros produtos químicos não especificados anteriormente,45,11–50,,[{'job_industry_list': {'industry': 'Design Services'}}],['Design'],"Bancos múltiplos, com carteira comercial",1,Não encontrado,2
Mais Energia,MODULOS COMUNICACAO VISUAL LTDA,20.720.903/0001-54,"4,000.00",Até 100 mil,Fabricação de painéis e letreiros luminosos,91,51–200,"São Paulo, SP",[{'job_industry_list': {'industry': 'Services for Renewable Energy'}}],['Human Resources'],Comércio atacadista de cosméticos e produtos de perfumaria,2,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,2
Engemon IT,MAIS ENERGIA SOLUCOES TECNICAS LTDA,01.279.782/0001-02,"111,000.00",100 mil – 1 milhão,Comércio varejista de material elétrico,323,201–500,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],"Portais, provedores de conteúdo e outros serviços de informação na internet",5,"Lojas de departamentos ou magazines, exceto lojas francas",2
Banco PAN,ENGEMON IT TECNOLOGIA E SERVICOS LTDA,59.285.411/0001-13,"1,800,000.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,4624,1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Banking'}}],['Other'],Comércio varejista de artigos de joalheria,1,"Outras sociedades de participação, exceto holdings",2
Transaction Network Services (TNS),BANCO PAN S.A.,10.466.196/0003-20,"5,928,320,482.90",Acima de 1 bilhão,"Bancos múltiplos, com carteira comercial",1761,1001-5000,"Reston, Virginia",[{'job_industry_list': {'industry': 'Telecommunications'}}],['Information Technology'],Atividades de teleatendimento,2,Corretoras de títulos e valores mobiliários,2
Promove Distribuidora,TRANSACTION NETWORK SERVICOS DE TECNOLOGIA DO BRASIL LTDA.,08.357.338/0001-07,"43,726,354.00",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,61,51–200,"Niterói, RJ",[{'job_industry_list': {'industry': 'Personal Care Product Manufacturing'}}],['Sales'],Comércio varejista de outros produtos não especificados anteriormente,2,Comércio atacadista de equipamentos de informática,2
Ivox Marketing Direto,PROMOVE DISTRIBUIDORA LTDA,36.445.042/0001-83,"80,000.00",Até 100 mil,Comércio atacadista de cosméticos e produtos de perfumaria,25,11–50,"Belo Horizonte, MG",[{'job_industry_list': {'industry': 'Advertising Services'}}],['Education'],"Fabricação de tintas, vernizes, esmaltes e lacas",1,"Lanchonetes, casas de chá, de sucos e similares",2
Casa das Alianças,IVOX MARKETING DIRETO S/A,11.041.151/0001-04,"10,000.00",Até 100 mil,"Portais, provedores de conteúdo e outros serviços de informação na internet",406,201–500,São Paulo,[{'job_industry_list': {'industry': 'Retail'}}],['Sales and Business Development'],Comércio varejista de artigos do vestuário e acessórios,2,Gestão e administração da propriedade imobiliária,2
Konecta,GOLDEN PREMIUM JOALHERIA RELOJOARIA COMERCIO ELETRONICO LTDA,08.911.199/0001-11,"85,000.00",Até 100 mil,Comércio varejista de artigos de joalheria,49238,+10000,"Madrid, Madrid",[{'job_industry_list': {'industry': 'Advertising Services'}}],['Management and Manufacturing'],Fornecimento e gestão de recursos humanos para terceiros,2,Atividades de consultoria e auditoria contábil e tributária,2
GPA,KONECTA BRAZIL OUTSOURCING LTDA.,47.508.411/0001-56,"136,966,750.00",100 milhões – 1 bilhão,Atividades de teleatendimento,25115,+10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Retail'}}],['Management and Manufacturing'],Ensino de música,1,"Emissão de vales-alimentação, vales-transporte e similares",2
Extracrill Tintas e Complementos,COMPANHIA BRASILEIRA DE DISTRIBUICAO,12.987.485/0001-38,"2,511,168,929.61",Acima de 1 bilhão,Comércio varejista de outros produtos não especificados anteriormente,28,11–50,"Duque de Caxias, Rio de Janeiro",[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],['Human Resources'],Fabricação de sorvetes e outros gelados comestíveis,1,Comércio atacadista de medicamentos e drogas de uso humano,2
Riachuelo,COLORE TINTAS E INDUSTRIA QUIMICA LTDA,33.200.056/0001-49,"88,000.00",Até 100 mil,"Fabricação de tintas, vernizes, esmaltes e lacas",32143,+10000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Retail'}}],"['Other', 'Sales and Business Development']",Pesquisas de mercado e de opinião pública,2,Correspondentes de instituições financeiras,2
Skyone,LOJAS RIACHUELO SA,19.093.204/0001-42,"4,238,448,788.42",Acima de 1 bilhão,Comércio varejista de artigos do vestuário e acessórios,556,501–1000,"São Paulo, Sao Paulo","[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Human Resources'],Atividades de estudos geológicos,1,Edição de revistas,2
Nova Corrente,SKY.ONE TECNOLOGIA EM SOFTWARE S.A.,08.589.013/0001-50,"98,490,172.59",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,93,51–200,"Salvador, Bahia",[{'job_industry_list': {'industry': 'Telecommunications'}}],['Other'],Promoção de vendas,2,Gestão de ativos intangíveis não-financeiros,2
Sinqia,NOVA CORRENTE EMPREENDIMENTOS E MANUTENCAO LTDA,04.065.791/0001-99,"1,773,250.00",1 – 10 milhões,Fornecimento e gestão de recursos humanos para terceiros,1862,1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],"['Other', 'Engineering and Information Technology']",Atividades de psicologia e psicanálise,2,Serviços de diálise e nefrologia,2
Ser Especial - AAIT,SINQIA S.A.,08.374.781/0001-96,"1,169,128,210.00",Acima de 1 bilhão,Desenvolvimento de programas de computador sob encomenda,247,201–500,"SÃO PAULO, São Paulo",[{'job_industry_list': {'industry': 'Civic and Social Organizations'}}],['Management and Manufacturing'],Fabricação de móveis com predominância de madeira,1,Hotéis,2
Persone Educação,PERSONE SERVICOS EDUCACIONAIS LTDA,NÃO ENCONTRADO,"10,000.00",Até 100 mil,Ensino de música,46,11–50,"SAO PAULO, SP",[{'job_industry_list': {'industry': 'Telecommunications'}}],['Sales and Business Development'],********,10,Comércio varejista de móveis,2
CCN Certificadora,CCN MULTIPLA CERTIFICADORA LTDA,45.616.309/0001-49,"10,000.00",Até 100 mil,"Portais, provedores de conteúdo e outros serviços de informação na internet",115,51–200,"Fortaleza, Ceará",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Management and Manufacturing'],Incorporação de empreendimentos imobiliários,5,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",2
Agrotis,AGROTIS AGROINFORMATICA S/A,82.413.816/0001-01,"3,000,000.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,295,201–500,"Curitiba, PR",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],"['Other', 'Sales and Business Development']",Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,1,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",2
Develcode,DEVELCODE INFORMATICA LTDA,21.153.354/0001-46,"500,000.00",100 mil – 1 milhão,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",112,51–200,"Caxias do Sul, Rio Grande do Sul",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Administrative'],Comércio varejista de calçados,1,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",2
MJV Technology & Innovation,MJV TECNOLOGIA & INOVACAO LTDA,05.940.894/0001-13,"250,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,1131,1001-5000,"Atlanta, Georgia",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Finance and Sales'],Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,3,Administração de consórcios para aquisição de bens e direitos,2
Oggi Sorvetes,OGGI SORVETES LTDA,01.621.399/0001-90,"119,942,066.00",100 milhões – 1 bilhão,Fabricação de sorvetes e outros gelados comestíveis,1774,1001-5000,"São Bernardo do Campo, São Paulo",[{'job_industry_list': {'industry': 'Food & Beverages'}}],['Other'],Fabricação de cimento,2,Distribuidoras de títulos e valores mobiliários,2
Perseus TI,PERSEUS TECNOLOGIA DA INFORMACAO S.A.,02.679.616/0001-66,"73,328.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador customizáveis,43,11–50,"Canoas, RS",[{'job_industry_list': {'industry': 'Software Development'}}],['Other'],Não encontrado,2,Comércio varejista especializado de equipamentos de telefonia e comunicação,2
LADY TS HOMELESS MINISTRY INC,ABLER SISTEMAS E PROGRAMAS DE COMPUTADORES LTDA,29.387.715/0001-20,"1,033,680.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,Não encontrado,+10000,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Sales and Business Development'],Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,2,Serviços financeiros,1
Kantar Media,KANTAR IBOPE PESQUISA DE MIDIA LTDA,42.196.550/0001-78,"925,540,800.00",100 milhões – 1 bilhão,Pesquisas de mercado e de opinião pública,1612,1001-5000,London,"[{'job_industry_list': {'industry': 'Marketing Services'}}, {'job_industry_list': {'industry': 'Mga Serbisyo sa Marketing'}}]",['Administrative'],Fabricação de artefatos de joalheria e ourivesaria,1,Setor público,1
3A Mining,3A MINING S.A.,14.482.711/0001-54,"95,931,446.00",10 – 100 milhões,Atividades de estudos geológicos,89,51–200,,[{'job_industry_list': {'industry': 'Mining'}}],"['Other', 'Management and Manufacturing']","Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",1,Varejo,1
Stone | Franquia Roraima,GREEN LABS LTDA,28.957.554/0001-09,"1,000,000.00",100 mil – 1 milhão,Promoção de vendas,1,0–10,"Boa Vista, Roraima",[{'job_industry_list': {'industry': 'Retail'}}],['Business Development and Sales'],"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",5,Infraestrutura,1
ABA VILI,ABA VILI REABILITACAO LTDA,50.251.900/0001-80,"100,000.00",Até 100 mil,Atividades de psicologia e psicanálise,17,11–50,"Santo André, São Paulo",[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],['Health Care Provider'],"Lojas de departamentos ou magazines, exceto lojas francas",2,Indústria automotiva,1
Lieu du Vin Adegas Climatizadas,LIEU DU VIN PRODUCAO E COMERCIALIZACAO DE ADEGAS LTDA,18.709.142/0001-98,"29,000.00",Até 100 mil,Fabricação de móveis com predominância de madeira,17,11–50,"Poços de Caldas, Minas Gerais",[{'job_industry_list': {'industry': 'Furniture and Home Furnishings Manufacturing'}}],['Production'],"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,Varejo,1
Bensaúde - Plano de Saúde,BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA,02.849.393/0001-38,"3,730,000.00",1 – 10 milhões,Planos de saúde,159,51–200,"São José do Rio Preto, SP",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Health Care Provider'],Fabricação de papel,1,Tecnologia,1
Netvagas,A L DE OLIVEIRA RODRIGUES INFORMATICA,12.546.191/0001-70,"10,000.00",Até 100 mil,"Portais, provedores de conteúdo e outros serviços de informação na internet",67,51–200,Cotia,[{'job_industry_list': {'industry': 'Human Resources Services'}}],"['Marketing, Public Relations, and Writing/Editing']",Fabricação de artigos ópticos,1,Saúde,1
Brabus Mitsubishi,MIT2 COMERCIO DE VEICULOS LTDA,05.568.674/0001-00,"20,000,000.00",10 – 100 milhões,********,350,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Motor Vehicle Manufacturing'}}],['Other'],Fabricação de artefatos de cimento para uso na construção,1,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",1
AQIA Química Inovativa,AQIA QUIMICA INOVATIVA LTDA.,01.142.107/0001-37,"32,000,000.00",10 – 100 milhões,Fabricação de outros produtos químicos não especificados anteriormente,337,201–500,,[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],['Other'],Serviços de funerárias,3,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",1
Vivara,VIVARA PARTICIPACOES S.A.,33.839.910/0001-11,"1,705,381,209.00",Acima de 1 bilhão,Holdings de instituições não-financeiras,3996,1001-5000,,[{'job_industry_list': {'industry': 'Retail'}}],['Other'],Construção de estações e redes de telecomunicações,1,Comércio a varejo de motocicletas e motonetas novas,1
Engepack Embalagens S.A.,ENGEPACK EMBALAGENS S/A,16.116.469/0001-20,"80,580,920.00",10 – 100 milhões,********,466,201–500,"Simões Filho, Bahia",[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],['Other'],"Outras sociedades de participação, exceto holdings",2,Atividades de estética e outros serviços de cuidados com a beleza,1
