Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,Linkedin,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
Incofibras,INCOFIBRAS INDUSTRIA E COMERCIO DE ALGODAO LTDA,26.199.969/0001-27,"148,781,800.00",100 milhões – 1 bilhão,Desenvolvimento de programas de computador sob encomenda,55.00,51–200,"CAMPO VERDE, MATO GROSSO",[{'job_industry_list': {'industry': 'Textile Manufacturing'}}],https://www.linkedin.com/company/incofibras,['Other'],,,,
Soeltech,SOELTECH DESENVOLVIMENTO E COMERCIO DE SISTEMAS LTDA,80.090.244/0001-41,"100,000.00",Até 100 mil,Comércio atacadista de ferragens e ferramentas,44.00,11–50,"Rio do Sul, Santa Catarina",[{'job_industry_list': {'industry': 'Software Development'}}],https://www.linkedin.com/company/soeltech,['Information Technology'],,,,
DELUPO,A. SILVA FERRAGENS LTDA,02.492.310/0001-04,"20,000,000.00",10 – 100 milhões,Atividades de teleatendimento,119.00,51–200,"Criciúma, Santa Catarina",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/delupoferragens,['Other'],,,,
SX Negócios,PULSE CLIENT EXPERTS LTDA,13.043.951/0001-90,"75,050,000.00",10 – 100 milhões,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças","7,136.00",5001-10000,"Novo Hamburgo, Rio Grande do Sul",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/vemprapulse,['Education and Training'],,,,
Terra Premium,TERRA PREMIUM COMERCIO DE MAQUINAS AGRICOLAS LTDA.,21.346.829/0001-10,"30,000,000.00",10 – 100 milhões,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",122.00,51–200,"Rondonópolis, Mato Grosso",[{'job_industry_list': {'industry': 'Machinery Manufacturing'}}],https://www.linkedin.com/company/terrapremiumnewholland,['Engineering'],,,,
Cobmais,COBMAIS TECNOLOGIA PARA RECUPERACAO DE CREDITO LTDA,23.322.556/0001-08,"80,000.00",Até 100 mil,Incorporação de empreendimentos imobiliários,90.00,51–200,"Presidende Prudente, São Paulo",[{'job_industry_list': {'industry': 'Software Development'}}],https://www.linkedin.com/company/cobmais,['Information Technology'],,,,
Longitude Incorporadora,LONGITUDE INCORPORACAO & URBANISMO LTDA,15.387.496/0001-75,"15,000,000.00",10 – 100 milhões,Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio,383.00,201–500,"Indaiatuba, São Paulo",[{'job_industry_list': {'industry': 'Real Estate'}}],https://www.linkedin.com/company/longitudeoficial,['Finance'],,,,
Constat,CONSTAT - CONSULTORIA E AUDITORIA MEDICO HOSPITALAR E ATENDIMENTO DOMICILIAR LTDA.,03.976.760/0001-27,"200,000.00",100 mil – 1 milhão,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",300.00,201–500,"Porto Alegre, Rio Grande do Sul",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/constat-servi-os-em-inform-tica---brazil,['Business Development and Sales'],,,,
Hostweb,HOSTWEB DATA CENTER E SERVICOS LTDA,07.319.644/0001-96,"1,350,000.00",1 – 10 milhões,Pesquisa e desenvolvimento experimental em ciências sociais e humanas,75.00,51–200,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/hostweb-data-center-e-servicos,['Information Technology'],,,,
FADESP,FUNDACAO DE AMPARO E DESENVOLVIMENTO DA PESQUISA,05.572.870/0001-59,0.00,Até 100 mil,,341.00,201–500,"Belem, Pará",[{'job_industry_list': {'industry': 'Think Tanks'}}],https://www.linkedin.com/company/fadesp,['Information Technology'],,,,
América Jeans,COMERCIO DE CONFECCOES ZEFERINO LTDA,01.110.262/0001-71,"100,000.00",Até 100 mil,Educação superior - graduação e pós-graduação,214.00,201–500,"Várzea Grande, Mato Grosso",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/am%c3%a9rica-jeans,"['Other', 'Sales and Business Development']",,,,
Join LinkedIn,PARTNER SOLUCOES EMPRESARIAIS LTDA,91.693.531/0001-62,"78,800.00",Até 100 mil,Comércio varejista de artigos do vestuário e acessórios,Não encontrado,+10000,Não encontrada,"[{'job_industry_list': {'industry': 'Primary and Secondary Education, Higher Education, and Education Administration Programs'}}, {'job_industry_list': {'industry': 'Education Administration Programs, Higher Education, and Primary and Secondary Education'}}]",https://www.linkedin.com/school/feevale/,['Human Resources'],,,,
New Service,NEW SERVICE SERVICOS E CONSULTORIA EM GESTAO EMPRESARIAL LTDA,40.384.060/0001-70,"10,000.00",Até 100 mil,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",37.00,11–50,"São José, Santa Catarina",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],https://www.linkedin.com/company/ns-sh,['Other'],,,,
Deltamaq,DELTA MAQUINAS LTDA,04.550.434/0001-16,"73,828,400.00",10 – 100 milhões,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",274.00,201–500,"Ananindeua, Pará","[{'job_industry_list': {'industry': 'Machinery Manufacturing'}}, {'job_industry_list': {'industry': 'Pagmamanupaktura ng Machinery'}}]",https://www.linkedin.com/company/deltamaqltda,"['Other', 'Consulting, Information Technology, and Sales', 'Iba pa']",,,,
China Gate Importação,CHINA GATE IMPORTACAO E EXPORTACAO LTDA,28.115.607/0001-36,"10,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador customizáveis,59.00,51–200,"Maringá, Paraná",[{'job_industry_list': {'industry': 'Wholesale Import and Export'}}],https://www.linkedin.com/company/china-gate,['Customer Service'],,,,
KMM,KMM SOLUCOES TECNOLOGICAS LTDA.,02.355.037/0001-68,"59,073,747.00",10 – 100 milhões,Fabricação de móveis com predominância de madeira,344.00,201–500,"Ponta Grossa, PR",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/kmmlogistica,['Human Resources'],,,,
Lieu du Vin Adegas Climatizadas,LIEU DU VIN PRODUCAO E COMERCIALIZACAO DE ADEGAS LTDA,18.709.142/0001-98,"29,000.00",Até 100 mil,Consultoria em tecnologia da informação,17.00,11–50,"Poços de Caldas, Minas Gerais",[{'job_industry_list': {'industry': 'Furniture and Home Furnishings Manufacturing'}}],https://www.linkedin.com/company/lieu-du-vin-adegas-climatizadas,['Production'],,,,
ImpulseUP,IMPULSEUP TECNOLOGIA LTDA.,46.743.554/0001-80,"100,000.00",Até 100 mil,Fabricação de desinfestantes domissanitários,109.00,51–200,"Brasília, Distrito Federal",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/impulseup,['Sales and Business Development'],,,,
Insetimax,INSETIMAX INDUSTRIA QUIMICA LTDA,05.328.961/0001-43,"1,290,000.00",1 – 10 milhões,Treinamento em desenvolvimento profissional e gerencial,109.00,51–200,Matriz em Jardinópolis-SP,[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],https://www.linkedin.com/company/insetimax-industria-quimica-ltda,['Sales and Business Development'],,,,
Aprova Total,APROVA TOTAL EDUCACAO S.A,18.311.735/0001-00,"5,100,001.00",1 – 10 milhões,Construção de edifícios,151.00,51–200,"Florianópolis, Santa Catarina","[{'job_industry_list': {'industry': 'Technology, Information and Media'}}]",https://www.linkedin.com/company/aprova-total,['Education'],,,,
Konpax,KONPAX CONSTRUCOES LTDA,11.655.258/0001-42,"9,000,000.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,28.00,11–50,"Fortaleza, Ceará",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],https://www.linkedin.com/company/konpax-do-brasil-consultoria-e-comunica-es-ltda,['Purchasing and Supply Chain'],,,,
Planetfone,PLANET FONE SERVICOS DE INFORMATICA LTDA.,07.105.582/0001-10,"50,000.00",Até 100 mil,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",21.00,11–50,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Information Technology & Services'}}],https://www.linkedin.com/company/pabx-ip-planetfone-brasil,['Business Development and Sales'],,,,
Kasvi,KASVI IMPORTACAO E DISTRIBUICAO DE PRODUTOS PARA LABORATORIOS LTDA,13.324.282/0001-24,"30,000,000.00",10 – 100 milhões,Atividades do Operador Portuário,77.00,51–200,"Pinhais, Paraná",[{'job_industry_list': {'industry': 'Wholesale'}}],https://www.linkedin.com/company/kasvi,"['Consulting, Information Technology, and Sales']",,,,
,POSEIDON OPERADORA PORTUARIA LTDA.,19.786.699/0001-95,"200,000.00",100 mil – 1 milhão,Serviços combinados de escritório e apoio administrativo,112.00,51–200,"Vila Velha, Espírito Santo",[],,['Business Development and Sales'],,,,
Florest,R QUINTAES SERVICOS E COMERCIO DE ROUPAS LTDA,27.194.082/0001-09,"100,000.00",Até 100 mil,Fabricação de outros produtos alimentícios não especificados anteriormente,389.00,201–500,"Ji-Paraná, Rondonia",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/florest-oficial,['Sales and Business Development'],,,,
Maxinutri,MAXINUTRI LABORATORIO NUTRACEUTICO LTDA,08.646.787/0001-75,"10,000,000.00",1 – 10 milhões,Atividades de contabilidade,71.00,51–200,"Chapecó, Santa Catarina",[{'job_industry_list': {'industry': 'Pharmaceutical Manufacturing'}}],https://www.linkedin.com/company/maxinutrioficial,['Finance and Sales'],,,,
Contaseg,CONTASEG CONTABILIDADE LTDA,09.124.126/0001-42,"5,000.00",Até 100 mil,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",21.00,11–50,,[{'job_industry_list': {'industry': 'Accounting'}}],https://www.linkedin.com/company/contaseg,['Administrative'],,,,
KSB Agribusiness,KSB AGRIBUSINESS COMERCIO LTDA,21.523.353/0001-46,"200,000.00",100 mil – 1 milhão,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,"1,990.00",1001-5000,"Sao Paulo, SP",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/ksb-agribusinesss,['Administrative'],,,,
CTC,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,06.981.381/0001-13,"562,203,309.12",100 milhões – 1 bilhão,Consultoria em tecnologia da informação,323.00,201–500,"São Paulo , SP",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/ctctech,['Information Technology'],,,,
Econodata,ECONODATA TECNOLOGIA DA INFORMACAO LTDA,17.948.237/0001-00,"10,000.00",Até 100 mil,Holdings de instituições não-financeiras,"23,934.00",+10000,"Nanterre, Île-de-France",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/econodata,['Sales'],,,,
VINCI Energies,VINCI ENERGIES DO BRASIL PARTICIPACOES LTDA.,09.477.732/0001-41,"729,818,505.00",100 milhões – 1 bilhão,********,50.00,11–50,"Chapecó, Santa Catarina",[{'job_industry_list': {'industry': 'Information Technology & Services'}}],https://www.linkedin.com/company/vinci-energies,['Management and Manufacturing'],,,,
Munique Concessionária Autorizada Thermo King,MUNIQUE COMERCIO E REPRESENTACOES LTDA,03.800.017/0002-00,"1,684,126.00",1 – 10 milhões,Serviços combinados de escritório e apoio administrativo,9.00,0–10,"Passo Fundo, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Truck Transportation'}}],https://www.linkedin.com/company/muniquetk,['Accounting/Auditing and Finance'],,,,
Win Carreira,WIN CARREIRA GESTAO DE PESSOAS LTDA,19.397.580/0001-20,"3,000.00",Até 100 mil,Comércio atacadista de cosméticos e produtos de perfumaria,376.00,201–500,"Londrina, Paraná",[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/win-carreira,['Administrative'],,,,
Leo Cosméticos,LEO COSMETICOS LTDA,08.718.972/0001-28,"1,100,000.00",1 – 10 milhões,Atividades de contabilidade,11.00,11–50,"Blumenau, Santa Catarina",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/leo-cosmeticos,['Sales and Business Development'],,,,
ESCOBLU,ESCRITORIO DE CONTABILIDADE BLUMENAU LTDA,82.664.962/0001-00,"10,000.00",Até 100 mil,Comissaria de despachos,23.00,11–50,"Campinas, São Paulo",[{'job_industry_list': {'industry': 'Accounting'}}],https://www.linkedin.com/company/escoblu,[],,,,
General Tradeways,GENERAL TRADEWAYS SERVICOS E TRANSPORTES LTDA,74.649.427/0001-51,"700,000.00",100 mil – 1 milhão,Atividades de cobrança e informações cadastrais,20.00,11–50,"Maringá, Paraná",[{'job_industry_list': {'industry': 'International Trade and Development'}}],https://www.linkedin.com/company/generaltradeways,['Management and Manufacturing'],,,,
Siga GR,SIGA GERENCIAMENTO DE RISCO LTDA,39.351.231/0001-85,"30,000.00",Até 100 mil,Fabricação de baterias e acumuladores para veículos automotores,518.00,501–1000,"Treze Tílias, Santa Catarina","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",https://www.linkedin.com/company/sigagr,['Management and Manufacturing'],,,,
Baterias Pioneiro,BATERIAS PIONEIRO INDUSTRIAL LTDA,82.927.385/0001-00,"430,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,42.00,11–50,"São José do Rio Preto, São Paulo",[{'job_industry_list': {'industry': 'Motor Vehicle Manufacturing'}}],https://www.linkedin.com/company/baterias-pioneiro,['Purchasing and Supply Chain'],,,,
WebPic,WEBPIC DESENVOLVIMENTO DE SOFTWARE LTDA,08.681.915/0001-11,"10,000.00",Até 100 mil,Fabricação de estruturas metálicas,56.00,51–200,"Betim, Minas Gerais",[{'job_industry_list': {'industry': 'Software Development'}}],https://www.linkedin.com/company/grupowebpic,['Human Resources'],,,,
AURATEC,AURATEC INDUSTRIAL LTDA,10.310.348/0001-39,"74,000.00",Até 100 mil,Atividade odontológica,4.00,0–10,"Florianópolis, Santa Catarina",[{'job_industry_list': {'industry': 'Entertainment Providers'}}],https://www.linkedin.com/company/auratec-br,[],,,,
Conecte Odontologia,CONECTA ODONTOLOGIA LTDA,47.281.198/0001-92,"10,000.00",Até 100 mil,Fabricação de periféricos para equipamentos de informática,61.00,51–200,Belo Horizonte,[{'job_industry_list': {'industry': 'Dentists'}}],https://www.linkedin.com/company/conecte-odontologia,[],,,,
Roboflex,MATRIXX DESENVOLVIMENTO DE PECAS TECNICAS LTDA,16.875.130/0001-08,"500,000.00",100 mil – 1 milhão,Fabricação de vinho,186.00,51–200,Canela,[{'job_industry_list': {'industry': 'Computers and Electronics Manufacturing'}}],https://www.linkedin.com/company/roboflex,['Quality Assurance'],,,,
Vitivinícola Jolimont,VITIVINICOLA JOLIMONT LTDA,88.212.881/0001-55,"210,000.00",100 mil – 1 milhão,Holdings de instituições não-financeiras,132.00,51–200,"Curitiba, PR",[{'job_industry_list': {'industry': 'Beverage Manufacturing'}}],https://www.linkedin.com/company/vitivinicola-jolimont,[],,,,
Ábaco Urbanizadora,ABACOBRASIL URBANIZADORA DE OBRAS S.A.,27.113.305/0001-66,"900,000.00",100 mil – 1 milhão,Fabricação de produtos químicos orgânicos não especificados anteriormente,293.00,201–500,"Estância Velha, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Construction'}}],https://www.linkedin.com/company/%c3%a1baco-brasil,['Management and Manufacturing'],,,,
Seta SA,SETA SA EXTRATIVA TANINO DE ACACIA,89.717.268/0001-52,"62,495,194.18",10 – 100 milhões,Comércio varejista de artigos do vestuário e acessórios,259.00,201–500,"Bento Gonçalves, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],https://www.linkedin.com/company/seta-sa-oficial,['Accounting/Auditing'],,,,
CENCICIA,CENCICIA LTDA,89.341.127/0001-88,"11,625,000.00",10 – 100 milhões,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",163.00,51–200,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Industrial Machinery Manufacturing'}}],https://www.linkedin.com/company/cencicia,"['Consulting, Information Technology, and Sales']",,,,
Hi Platform,HIPLATFORM COMERCIO E TECNOLOGIA S.A.,14.366.418/0001-21,"40,305,926.00",10 – 100 milhões,Educação infantil - pré-escola,35.00,11–50,"Franca, SP",[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/hiplatform,['Sales and Business Development'],,,,
Instituição Infacape,INSTITUICAO FAMILIA CAVALHEIRO CAETANO PETRAGLIA,47.963.343/0001-15,0.00,Até 100 mil,Fornecimento de alimentos preparados preponderantemente para empresas,4.00,0–10,"Contagem, Minas Gerais",[{'job_industry_list': {'industry': 'Education'}}],https://www.linkedin.com/company/instituicao-infacape,['Administrative'],,,,
Lacerda Alimentação,LACERDA ALIMENTACAO LTDA,00.101.401/0001-38,"1,000,000.00",100 mil – 1 milhão,Hotéis,103.00,51–200,,[{'job_industry_list': {'industry': 'Warehousing and Storage'}}],https://www.linkedin.com/company/lacerda-alimenta%c3%a7%c3%a3o-ltda,['Management and Manufacturing'],,,,
Taua Resort Caete,TAUA RESORT CAETE LTDA,22.488.316/0001-07,"31,244,391.00",10 – 100 milhões,"Fabricação de tintas, vernizes, esmaltes e lacas",131.00,51–200,"Siderópolis, SANTA CATARINA",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],https://www.linkedin.com/company/taua-resort-caete,['Management and Manufacturing'],,,,
Resicolor Tintas,RESICOLOR INDUSTRIA DE PRODUTOS QUIMICOS LTDA,95.800.637/0001-79,"80,269,863.00",10 – 100 milhões,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças,17.00,11–50,,[{'job_industry_list': {'industry': 'Chemical Raw Materials Manufacturing'}}],https://www.linkedin.com/company/resicolortintas,"['Marketing, Public Relations, and Writing/Editing']",,,,
brm*,BRM - BRASILEIRA DE ROLAMENTOS E MANCAIS LTDA,61.237.111/0001-00,"6,000,000.00",1 – 10 milhões,Fabricação de sabões e detergentes sintéticos,2.00,0–10,,[{'job_industry_list': {'industry': 'Legal Services'}}],https://www.linkedin.com/company/brm-,['Sales and Business Development'],,,,
THS Especialidades Químicas,THS QUIMICA LTDA,05.077.422/0001-89,"250,000.00",100 mil – 1 milhão,Holdings de instituições não-financeiras,43.00,11–50,,[{'job_industry_list': {'industry': 'Pharmaceutical Manufacturing'}}],https://www.linkedin.com/company/ths-especialidades-qu%c3%admicas,"['Research, Analyst, and Information Technology']",,,,
Norral Solution,NORRAL SOLUTION SERVICOS DE ADMINISTRACAO E TRANSPORTES LTDA,23.172.122/0001-60,"1,360,000.00",1 – 10 milhões,Motéis,56.00,51–200,"Florianópolis , Santa Catarina",[{'job_industry_list': {'industry': 'Rail Transportation'}}],https://www.linkedin.com/company/norralsolution,"['Marketing, Public Relations, and Writing/Editing']",,,,
Drops Motéis,DROPS MOTEL BRASILIA SPE LTDA,34.426.848/0001-07,"300,000.00",100 mil – 1 milhão,Fabricação de estruturas metálicas,15.00,11–50,,"[{'job_industry_list': {'industry': 'Museums, Historical Sites, and Zoos'}}]",https://www.linkedin.com/company/drops-moteis,"['Design, Art/Creative, and Information Technology']",,,,
Continente Inox,CONTINENTE INOX LTDA,12.021.973/0001-96,"50,000.00",Até 100 mil,Comercio varejista de artigos de armarinho,351.00,201–500,"Curitiba, Parana",[{'job_industry_list': {'industry': 'Entertainment Providers'}}],https://www.linkedin.com/company/continente-inox,['Project Management and Information Technology'],,,,
Inovare,INOVARE LTDA,50.263.795/0001-07,"20,000.00",Até 100 mil,Holdings de instituições não-financeiras,110.00,51–200,"Whiston, Merseyside",[{'job_industry_list': {'industry': 'Professional Services'}}],https://www.linkedin.com/company/inovare,['Management and Manufacturing'],,,,
CDMS,CDMS PARTICIPACOES LTDA.,29.163.592/0001-44,"2,002.00",Até 100 mil,********,3.00,0–10,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/cdms,"['Consulting, Information Technology, and Sales']",,,,
Talent Hunter,TALENT HUNTER SELECAO E ADMINISTRACAO DE TERCEIROS E TEMPORARIOS LTDA,06.335.262/0001-93,0.00,Até 100 mil,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",114.00,51–200,"Fortaleza, CE",[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/talent-hunt-take-a-chance,['Other'],,,,
Controller,CONTROLLER COMERCIO E SERVICOS LTDA,78.515.210/0001-00,"3,124,000.00",1 – 10 milhões,"Fabricação de produtos de papel, cartolina, papel cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo",570.00,501–1000,"Bauru, SP",[{'job_industry_list': {'industry': 'Professional Services'}}],https://www.linkedin.com/company/controller-fortaleza,['Other'],,,,
Tilibra,ACCO BRANDS BRASIL LTDA.,44.990.901/0001-43,"521,244,578.00",100 milhões – 1 bilhão,Fabricação de outros produtos têxteis não especificados anteriormente,533.00,501–1000,"Blumenau, Santa Catarina",[{'job_industry_list': {'industry': 'Manufacturing'}}],https://www.linkedin.com/company/tilibra,['Manufacturing and Production'],,,,
Haco,HACO ETIQUETAS LTDA,82.645.862/0001-36,"12,550,579.00",10 – 100 milhões,,,,,[{'job_industry_list': {'industry': 'Textile Manufacturing'}}],https://www.linkedin.com/company/haco-oficial,['Quality Assurance'],,,,
