Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,Linkedin,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
AGTech agrotecnologia,AGTECH SOLUCOES AGROTECNOLOGICAS LTDA,21.495.055/0001-90,"100,000.00",Até 100 mil,Atividades de contabilidade,197.00,51–200,"São José do Rio Preto, SP",[{'job_industry_list': {'industry': 'Farming'}}],https://www.linkedin.com/company/grupoagtech,['Business Development and Sales'],"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",
RG Contadores Associados,RG CONTADORES ASSOCIADOS S/S,83.713.123/0001-05,"100,000.00",Até 100 mil,Serviços combinados de escritório e apoio administrativo,94.00,51–200,"Florianópolis, SC",[{'job_industry_list': {'industry': 'Accounting'}}],https://www.linkedin.com/company/rgcontadores,['Business Development and Sales'],Estacionamento de veículos,,Estacionamento de veículos,
Atlântica Agroindustrial,ATLANTICA AGROINDUSTRIAL LTDA,01.588.098/0001-02,"9,000,000.00",1 – 10 milhões,Fabricação de defensivos agrícolas,254.00,201–500,"Fortaleza, Ceará",[{'job_industry_list': {'industry': 'Food and Beverage Services'}}],https://www.linkedin.com/company/atlantica-agroindustrial,['Other'],"Sociedades de crédito, financiamento e investimento - financeiras",,"Sociedades de crédito, financiamento e investimento - financeiras",
Bioma,BIOMA INDUSTRIA COMERCIO E DISTRIBUICAO LTDA,14.833.690/0001-74,"375,000,000.00",100 milhões – 1 bilhão,Atividades de contabilidade,445.00,201–500,"Fazenda Rio Grande, Paraná",[{'job_industry_list': {'industry': 'Biotechnology Research'}}],https://www.linkedin.com/company/bioma-agro,['Quality Assurance'],Preparação e fiação de fibras de algodão,,Preparação e fiação de fibras de algodão,
GESTCOM BPO,GESTCOM CONTABILIDADE CONSULTORIA BPO LTDA,42.008.640/0001-98,"110,000.00",100 mil – 1 milhão,Geração de energia elétrica,26.00,11–50,"Goiania, Goias",[{'job_industry_list': {'industry': 'Accounting'}}],https://www.linkedin.com/company/gestcom-bpo,['Marketing and Sales'],Comércio atacadista de ferragens e ferramentas,,Comércio atacadista de ferragens e ferramentas,
COGECOM,COOPERATIVA DE GERACAO COMPARTILHADA COGECOM,28.307.135/0001-13,"2,000.00",Até 100 mil,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,111.00,51–200,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Renewable Energy Power Generation'}}],https://www.linkedin.com/company/cogecomenergia,['Other'],Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio,,Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio,
Petlove,PETSUPERMARKET COMERCIO DE PRODUTOS PARA ANIMAIS LTDA,10.864.846/0001-23,"975,572,190.00",100 milhões – 1 bilhão,"Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório","2,046.00",1001-5000,"São paulo, SP",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/petlove,['Other'],Pesquisa e desenvolvimento experimental em ciências sociais e humanas,,Pesquisa e desenvolvimento experimental em ciências sociais e humanas,
FirstLab,FIRSTLAB INDUSTRIA IMPORTACAO E EXPORTACAO DE PRODUTOS PARA LABORATORIOS LTDA,27.089.709/0001-61,"35,000,000.00",10 – 100 milhões,"Emissão de vales-alimentação, vales-transporte e similares",103.00,51–200,"Pinhais, Paraná",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],https://www.linkedin.com/company/firstlab,['Other'],Fabricação de móveis com predominância de madeira,,Fabricação de móveis com predominância de madeira,
Raiô Benefícios,RAIO BENEFICIOS LTDA,49.854.823/0001-73,"1,000.00",Até 100 mil,Educação superior - graduação e pós-graduação,67.00,51–200,,[{'job_industry_list': {'industry': 'Insurance and Employee Benefit Funds'}}],https://www.linkedin.com/company/raio-beneficios,['Sales and Business Development'],Fabricação de desinfestantes domissanitários,,Fabricação de desinfestantes domissanitários,
Join LinkedIn,REHAGRO - RECURSOS HUMANOS NO AGRONEGOCIO S.A.,05.473.134/0001-43,"21,508,761.00",10 – 100 milhões,,Não encontrado,+10000,Não encontrada,[{'job_industry_list': {'industry': 'Education'}}],https://www.linkedin.com/school/rehagro/,['Sales'],Atividades do Operador Portuário,,Atividades do Operador Portuário,
Mi Garba!,MI GARBA BRASIL LTDA,27.953.679/0001-90,"100,000.00",Até 100 mil,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,13.00,11–50,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],https://www.linkedin.com/company/migarbagelateria,['Management and Manufacturing'],Comissaria de despachos,,Comissaria de despachos,
Seyconel Industrial Automation,SEYCONEL AUTOMACAO INDUSTRIAL LTDA.,02.640.010/0001-17,"360,000.00",100 mil – 1 milhão,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",97.00,51–200,"Colombo, PR",[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],https://www.linkedin.com/company/seyconeloficial,['Management and Manufacturing'],Atividades de cobrança e informações cadastrais,,Atividades de cobrança e informações cadastrais,
Extrafruti,EXTRAFRUTI S/A - COMERCIO DE HORTIFRUTIGRANJEIROS,06.175.064/0001-00,"13,665,539.28",10 – 100 milhões,Corretoras de títulos e valores mobiliários,547.00,501–1000,"Viana, ES",[{'job_industry_list': {'industry': 'Consumer Services'}}],https://www.linkedin.com/company/extrafruti,['Administrative'],Fabricação de baterias e acumuladores para veículos automotores,,Fabricação de baterias e acumuladores para veículos automotores,
EQI INVESTIMENTOS,EQI INVESTIMENTOS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,47.965.438/0001-78,"115,000,000.00",100 milhões – 1 bilhão,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios","1,201.00",1001-5000,"Itajaí, SC",[{'job_industry_list': {'industry': 'Financial Services'}}],https://www.linkedin.com/company/eqi-investimentos,['Other'],Fabricação de estruturas metálicas,,Fabricação de estruturas metálicas,
Prática,PRATICA PRODUTOS S.A.,08.574.411/0001-00,"29,068,287.53",10 – 100 milhões,Fabricação de caminhões e ônibus,"1,650.00",1001-5000,"Pouso Alegre, MG",[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],https://www.linkedin.com/company/praticabr,['Other'],Atividade odontológica,,Atividade odontológica,
Scania Latin America,SCANIA LATIN AMERICA LTDA,59.104.901/0001-76,"362,498,350.00",100 milhões – 1 bilhão,Outras atividades de recreação e lazer não especificadas anteriormente,"3,466.00",1001-5000,"São Bernardo do Campo, São Paulo",[{'job_industry_list': {'industry': 'Motor Vehicle Manufacturing'}}],https://www.linkedin.com/company/scania-latinamerica,['Management and Manufacturing'],Fabricação de periféricos para equipamentos de informática,,Fabricação de periféricos para equipamentos de informática,
Clube Candeias,CANDEIAS ESPORTE LAZER E RECREACAO,43.446.434/0001-22,0.00,Até 100 mil,"Fabricação de aparelhos e equipamentos de medida, teste e controle",576.00,501–1000,"Itajaí, Santa Catarina",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],https://www.linkedin.com/company/clubecandeiasoficial,['Other'],Fabricação de vinho,,Fabricação de vinho,
Authomathika,AUTHOMATHIKA SISTEMAS DE CONTROLE LTDA,03.119.551/0001-67,"500,000.00",100 mil – 1 milhão,Serviços de engenharia,154.00,51–200,"Sertãozinho, São Paulo",[{'job_industry_list': {'industry': 'Consumer Services'}}],https://www.linkedin.com/company/authomathika-epc,['Other'],Fabricação de produtos químicos orgânicos não especificados anteriormente,,Fabricação de produtos químicos orgânicos não especificados anteriormente,
Hect,HORMIGON HECT ENGENHARIA LTDA,07.247.201/0001-37,"500,000.00",100 mil – 1 milhão,Promoção de vendas,106.00,51–200,"Belo Horizonte, MG",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],https://www.linkedin.com/company/hectconsultoria,['Accounting/Auditing'],Educação infantil - pré-escola,,Educação infantil - pré-escola,
ENELO,ENELO SOLUCOES EM ENERGIAS RENOVAVEIS LTDA,45.460.285/0001-81,"500,000.00",100 mil – 1 milhão,,45.00,11–50,"Campinas, SP",[{'job_industry_list': {'industry': 'Services for Renewable Energy'}}],https://www.linkedin.com/company/eneloenergia,['Sales and Business Development'],Fornecimento de alimentos preparados preponderantemente para empresas,,Fornecimento de alimentos preparados preponderantemente para empresas,
INFLOR,INFLOR CONSULTORIA E SISTEMAS LTDA,04.643.363/0001-04,"200,000.00",100 mil – 1 milhão,"Produção de laminados longos de aço, exceto tubos",128.00,51–200,"Vitoria, ES",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/inflor,['Other'],Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças,,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças,
Gerdau,GERDAU S.A.,33.611.500/0001-19,"24,347,290,800.00",Acima de 1 bilhão,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","21,797.00",+10000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Mining'}}],https://www.linkedin.com/company/gerdau,['Management and Manufacturing'],Fabricação de sabões e detergentes sintéticos,,Fabricação de sabões e detergentes sintéticos,
BBM Logística,BBM LOGISTICA S.A,01.107.327/0001-20,"102,489,376.00",100 milhões – 1 bilhão,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados","1,714.00",1001-5000,"São José dos Pinhais, Paraná",[{'job_industry_list': {'industry': 'Truck Transportation'}}],https://www.linkedin.com/company/bbm-log%c3%adstica-s.a,['Education and Training'],Motéis,,Motéis,
Atacadão,ATACADAO S.A.,75.315.333/0001-09,"17,304,241,526.26",Acima de 1 bilhão,Treinamento em desenvolvimento profissional e gerencial,"58,645.00",+10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Retail Groceries'}}],https://www.linkedin.com/company/atacadao,['Other'],Comercio varejista de artigos de armarinho,,Comercio varejista de artigos de armarinho,
DG Recursos Humanos,DG DESENVOLVIMENTO HUMANO - LTDA,39.976.695/0001-87,"20,000.00",Até 100 mil,Agências de publicidade,7.00,0–10,,[{'job_industry_list': {'industry': 'Human Resources'}}],https://www.linkedin.com/company/daniela-grolli,"['Business Development and Sales', 'Research, Analyst, and Information Technology']","Fabricação de produtos de papel, cartolina, papel cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo",,"Fabricação de produtos de papel, cartolina, papel cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo",
Workers Retail Branding,SENZA COMUNICACAO LTDA,82.348.210/0001-30,"10,000.00",Até 100 mil,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",20.00,11–50,"Curitiba, Paraná","[{'job_industry_list': {'industry': 'Design'}}, {'job_industry_list': {'industry': 'Advertising Services'}}]",https://www.linkedin.com/company/workersretailbranding,"['Design, Art/Creative, and Information Technology']",Fabricação de outros produtos têxteis não especificados anteriormente,,Fabricação de outros produtos têxteis não especificados anteriormente,
Motorista PX,PX AGENCIAMENTO DE SERVICOS S.A.,34.259.615/0001-59,"15,715,737.00",10 – 100 milhões,Serviços de comunicação multimídia - SCM,557.00,501–1000,"Joinville, SC","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",https://www.linkedin.com/company/motoristapx,['Human Resources'],,,,
Internet Way®,WAY.COM PROVEDOR BANDA LARGA LTDA,11.372.464/0001-45,"95,400.00",Até 100 mil,,160.00,51–200,"Marilia, São Paulo",[{'job_industry_list': {'industry': 'Telecommunications'}}],https://www.linkedin.com/company/internetway,['Quality Assurance'],,,,
CRD Medicina Diagnóstica,ASSOCIACAO ANTONIO VIEIRA,01.586.380/0001-50,0.00,Até 100 mil,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,172.00,51–200,"Goiânia, Goiás",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],https://www.linkedin.com/company/crd-medicina-diagnostica,['Other'],,,,
Join LinkedIn,CRD - CENTRO DE RECURSOS DIAGNOSTICOS LTDA,92.959.006/0001-09,"18,700,000.00",10 – 100 milhões,Outras atividades de ensino não especificadas anteriormente,Não encontrado,+10000,Não encontrada,[{'job_industry_list': {'industry': 'Education Administration Programs'}}],https://www.linkedin.com/school/universidade-do-vale-do-rio-dos-sinos/,['Other'],,,,
Efí Bank,EFI S.A. - INSTITUICAO DE PAGAMENTO,09.089.356/0001-18,"37,726,636.00",10 – 100 milhões,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",506.00,501–1000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Financial Services'}}],https://www.linkedin.com/company/sejaefi,['Information Technology'],,,,
