Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,Linkedin,Uniue Segmento,Contagem de Segmento,Top Segmento,,,,,,,,,,job_industry_collection,job_functions_collection
Vida Saudável,VIDA SAUDAVEL LTDA,46.548.370/0001-69,"50,000.00",Até 100 mil,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,160.00,51–200,"Bauru, São Paulo",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-de-psicologia-organizacional-at-vida-saud%25C3%25A1vel-4062561463,Comércio atacadista de produtos alimentícios em geral,2,Promoção de vendas,2,,,,,,,,,"[{'job_industry_list': {'industry': 'Investment Banking'}}, {'job_industry_list': {'industry': ''}}]",['Health Care Provider']
Wellz by Wellhub,WELLZ GYMPASS SAUDE EMOCIONAL LTDA,18.669.595/0001-38,"14,829,962.00",10 – 100 milhões,Atividades de práticas integrativas e complementares em saúde humana,402.00,201–500,"São Paulo, SP",https://www.linkedin.com/jobs/view/banco-de-talentos-especialista-wellz-at-wellz-by-wellhub-4062258395,"Fabricação de tintas, vernizes, esmaltes e lacas",1,Construção de edifícios,2,,,,,,,,,[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Human Resources']
Barbosa Supermercados,SUPERMERCADO REI SALOMAO LTDA,09.247.417/0001-28,"20,000.00",Até 100 mil,********,"2,500.00",1001-5000,"Guarulhos, SP",https://www.linkedin.com/jobs/view/auxiliar-administrativo-recursos-humanos-pcd-at-barbosa-supermercados-4061999523,Promoção de vendas,2,Serviços de assistência social sem alojamento,2,,,,,,,,,[{'job_industry_list': {'industry': 'Retail Groceries'}}],['Human Resources']
Fama Empresarial,FAMA BPO FINANCEIRO LTDA,23.495.568/0001-26,"20,000.00",Até 100 mil,Serviços combinados de escritório e apoio administrativo,37.00,11–50,,https://www.linkedin.com/jobs/view/auxiliar-fiscal-at-fama-empresarial-4048797021,Desenvolvimento e licenciamento de programas de computador não-customizáveis,5,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",2,,,,,,,,,[{'job_industry_list': {'industry': 'Accounting'}}],['Accounting/Auditing']
Empório Alex,TEIXEIRA COMERCIO DE ROUPAS E CALCADOS LTDA.,10.803.620/0001-12,"30,000.00",Até 100 mil,Comércio varejista de artigos do vestuário e acessórios,208.00,201–500,"São Paulo, SP",https://www.linkedin.com/jobs/view/assistente-de-recrutamento-e-sele%25C3%25A7%25C3%25A3o-at-emp%25C3%25B3rio-alex-4051549019,Coleta de resíduos não-perigosos,1,Atividades de teleatendimento,2,,,,,,,,,[{'job_industry_list': {'industry': 'Industrial Machinery Manufacturing'}}],['Human Resources']
Fazendinha,JUBAIA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA,12.369.179/0001-38,"300,000.00",100 mil – 1 milhão,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",149.00,51–200,"Fortaleza, Ceará",https://www.linkedin.com/jobs/view/analista-de-gente-e-gest%25C3%25A3o-jr-at-fazendinha-4051085324,Comércio atacadista de resíduos e sucatas metálicos,1,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",2,,,,,,,,,[{'job_industry_list': {'industry': 'Retail Groceries'}}],['Human Resources']
Syhus Contabilidade,SYHUS CONTABILIDADE SOCIEDADE SIMPLES LTDA,18.246.327/0001-03,"100,000.00",Até 100 mil,Atividades de contabilidade,81.00,51–200,"Campinas, São Paulo",https://www.linkedin.com/jobs/view/analista-cont%25C3%25A1bil-fiscal-j%25C3%25BAnior-campinas-sp-e-regi%25C3%25A3o-at-syhus-contabilidade-4039247895,Atividades associativas não especificadas anteriormente,1,Locação de automóveis sem condutor,2,,,,,,,,,[{'job_industry_list': {'industry': 'Accounting'}}],['Other']
Coaching & Carreiras,COACHING & CARREIRAS LTDA,11.040.648/0001-08,"62,200.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,24.00,11–50,"São Paulo, Sao Paulo",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-de-psicologia-headhunter-at-coaching-carreiras-4044137585,Comércio varejista de materiais de construção em geral,1,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",2,,,,,,,,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Health Care Provider']
Natura,NATURA COSMETICOS S/A,71.673.990/0039-40,"2,000,000,000.00",Acima de 1 bilhão,Comércio atacadista de cosméticos e produtos de perfumaria,"39,645.00",+10000,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/vendedor-a-de-loja-shopping-esta%25C3%25A7%25C3%25A3o-cuiab%25C3%25A1-cuiab%25C3%25A1-mt-at-natura-4042206100,Desenvolvimento de programas de computador sob encomenda,3,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",2,,,,,,,,,[{'job_industry_list': {'industry': 'Retail Apparel and Fashion'}}],['Customer Service and Sales']
Drogaria Venancio,VENANCIO PRODUTOS FARMACEUTICOS LTDA.,00.285.753/0001-90,"305,970,312.00",100 milhões – 1 bilhão,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas","3,545.00",1001-5000,"Rio de Janeiro, RJ",https://www.linkedin.com/jobs/view/analista-de-rh-foco-recrutamento-e-sele%25C3%25A7%25C3%25A3o-at-drogaria-venancio-4048383217,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",5,Atividades de associações de defesa de direitos sociais,2,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Human Resources']
